gene name,coPARSE-lncRNA
RP11-885B4.3,No
RP11-563J2.3,Yes
RP11-258F1.1,No
RP1-212P9.3,Yes
RP11-285E9.5,Yes
AL355075.4,No
RP11-575L7.8,No
AC012305.1,Yes
RP4-535B20.1,Yes
HNF1A-AS1,Yes
DNM3OS,Yes
AC144521.1,Yes
CTB-25B13.5,Yes
RP11-518L10.5,No
AP000279.69,Yes
RP11-213H15.1,Yes
RP11-701B16.2,No
CTB-31O20.4,Yes
AC113189.5,Yes
RP5-994D16.3,Yes
RP11-124N14.4,No
RP11-701H24.3,No
LINC00324,Yes
RP11-223I10.1,Yes
RP11-383H13.1,Yes
CTD-2368P22.1,Yes
AC025442.3,No
RP11-615I2.2,Yes
CTC-459F4.3,No
CTD-2127H9.1,Yes
RP11-661A12.5,No
AC005618.6,Yes
RP11-175D17.3,No
RP11-328K4.1,No
RP13-270P17.1,No
RP11-421L21.3,No
AC009501.4,No
DLX6-AS1,No
LA16c-395F10.1,No
RP3-404F18.2,No
CTD-2314I6.1,Yes
AC006277.2,No
DLEU2L,Yes
CTD-2410N18.4,Yes
AC009120.6,No
RP11-439C15.4,Yes
RP11-705O3.1,Yes
RP11-702M1.1,Yes
SNHG14,Yes
AC009948.3,No
RP11-46B11.5,Yes
RP11-1055B8.4,Yes
RP4-785G19.5,No
RP11-31F15.1,No
AP003068.9,No
RP11-399K21.14,Yes
CTD-2547L24.3,Yes
RP11-20I23.6,Yes
RP11-285E9.6,No
RP11-44F14.2,Yes
AC007773.2,Yes
RP11-385F5.2,No
MEG9,Yes
COL4A2-AS2,No
AC068499.10,No
AC104695.3,Yes
CTC-471J1.2,No
RP11-429B14.1,Yes
AC084219.4,No
U73166.2,Yes
RP4-734G22.3,No
RP11-615I2.2,Yes
RP11-574K11.28,No
RP3-404F18.2,No
RP11-885B4.3,No
RP1-225E12.3,No
RP5-1050D4.3,No
RP1-228H13.5,No
RP11-473M20.14,No
RP11-496N17.2,Yes
CTC-444N24.11,No
RP11-92C4.3,No
HOXA-AS3,Yes
RP4-665J23.1,No
RP11-575L7.8,No
AC027601.1,Yes
RP6-218J18.3,No
AC006277.2,No
RP11-181C3.1,Yes
RP11-47I22.2,Yes
RP4-761J14.8,No
LA16c-395F10.1,No
RP11-550E22.3,No
RP11-175D17.3,No
AC113189.5,Yes
RP3-512E2.2,Yes
RP11-285E9.5,Yes
DNM3OS,Yes
SNHG14,Yes
RP11-420G6.4,No
CTB-31O20.4,Yes
AC104695.3,Yes
RP11-540L11.2,No
NCRNA00118,No
AC009505.2,No
CTD-2514K5.2,Yes
RP11-713D19.1,Yes
AC147651.3,Yes
HOXB-AS3,Yes
AP000279.69,Yes
CTD-3099C6.9,No
RP11-798M19.3,No
RP4-724E16.2,Yes
AC005594.3,No
CTD-2303H24.2,Yes
RP11-21B21.4,No
RP11-124N14.3,No
RP11-439C15.4,Yes
PAX8-AS1,No
RP11-430B1.2,No
CTD-2012K14.6,No
AC016736.2,No
RP11-444M10.3,No
COL4A2-AS2,No
SNHG1,No
RP11-23J9.4,No
AC010226.4,No
RP11-186F10.2,No
CTD-2619J13.8,Yes
RP11-295M18.5,Yes
CTD-2528L19.6,No
RP1-228H13.5,No
RP11-58D2.1,Yes
RP11-761I4.3,Yes
CTD-2256P15.4,No
RP11-513G11.1,Yes
RP11-715J22.2,Yes
DLX6-AS1,No
AC083843.1,Yes
RP11-3P17.5,No
RP11-649A18.12,Yes
AC109828.1,No
CTD-2583A14.8,No
RP4-535B20.1,Yes
RP11-661A12.5,No
RP11-44F14.8,Yes
RP11-133O22.6,No
RP5-991G20.1,No
RP11-559N14.5,No
RP11-327J17.3,No
RP11-795F19.1,Yes
AC009506.1,Yes
RP11-295G24.5,Yes
RP11-206L10.9,No
RP11-343L5.2,Yes
RP11-106M3.3,No
CTD-2270P14.3,Yes
AC004549.6,Yes
AC074091.13,No
RP1-170O19.22,Yes
RP11-867G23.8,Yes
AC003005.2,No
XXbac-BPG170G13.33,No
RP11-562A8.5,No
RP11-196G18.22,No
RP11-352M15.2,No
CTD-2006C1.12,No
RP11-186F10.2,No
RP11-355B11.2,Yes
RP11-124N14.4,No
CTC-338M12.4,No
RP11-213H15.1,Yes
RP1-124C6.1,No
HOXB-AS3,Yes
AC009120.6,No
RP11-840I19.3,No
RP5-848E13.3,Yes
RP11-558N14.1,Yes
CIRBP-AS1,Yes
RP11-1055B8.4,Yes
CTC-471J1.2,No
RP11-66N24.4,No
MIR137HG,Yes
NEAT1,Yes
CTB-179K24.3,No
MBNL1-AS1,No
AC147651.3,Yes
RP11-219B17.1,No
RP5-1021I20.6,No
RP11-199F11.2,No
RP11-798M19.6,Yes
MIR17HG,No
RP11-169D4.2,No
AC093818.1,No
AC144521.1,Yes
RP4-607I7.1,No
