Gene,Essentiality
Hum_XLOC_000006,Non-essential
Hum_XLOC_000008,Non-essential
Hum_XLOC_000016,Non-essential
Hum_XLOC_000030,Non-essential
Hum_XLOC_000033,Non-essential
Hum_XLOC_000039,Non-essential
Hum_XLOC_000053,Non-essential
Hum_XLOC_000057,Non-essential
Hum_XLOC_000060,Non-essential
Hum_XLOC_000080,Non-essential
Hum_XLOC_000094,Non-essential
Hum_XLOC_000100,Non-essential
Hum_XLOC_000105,Non-essential
Hum_XLOC_000107,Non-essential
Hum_XLOC_000111,Non-essential
Hum_XLOC_000134,Non-essential
Hum_XLOC_000143,Cell-type specific
Hum_XLOC_000145,Cell-type specific
Hum_XLOC_000149,Non-essential
Hum_XLOC_000155,Non-essential
Hum_XLOC_000169,Non-essential
Hum_XLOC_000170,Non-essential
Hum_XLOC_000194,Non-essential
Hum_XLOC_000201,Non-essential
Hum_XLOC_000231,Non-essential
Hum_XLOC_000233,Non-essential
Hum_XLOC_000242,Partially shared
Hum_XLOC_000244,Non-essential
Hum_XLOC_000245,Cell-type specific
Hum_XLOC_000247,Non-essential
Hum_XLOC_000248,Non-essential
Hum_XLOC_000265,Non-essential
Hum_XLOC_000282,Non-essential
Hum_XLOC_000286,Cell-type specific
Hum_XLOC_000292,Non-essential
Hum_XLOC_000307,Non-essential
Hum_XLOC_000308,Non-essential
Hum_XLOC_000312,Non-essential
Hum_XLOC_000314,Non-essential
Hum_XLOC_000317,Non-essential
Hum_XLOC_000319,Non-essential
Hum_XLOC_000332,Non-essential
Hum_XLOC_000338,Partially shared
Hum_XLOC_000342,Non-essential
Hum_XLOC_000345,Non-essential
Hum_XLOC_000362,Non-essential
Hum_XLOC_000377,Non-essential
Hum_XLOC_000390,Non-essential
Hum_XLOC_000394,Non-essential
Hum_XLOC_000411,Non-essential
Hum_XLOC_000415,Non-essential
Hum_XLOC_000430,Non-essential
Hum_XLOC_000436,Cell-type specific
Hum_XLOC_000437,Non-essential
Hum_XLOC_000456,Partially shared
Hum_XLOC_000461,Non-essential
Hum_XLOC_000462,Non-essential
Hum_XLOC_000465,Non-essential
Hum_XLOC_000472,Non-essential
Hum_XLOC_000474,Non-essential
Hum_XLOC_000478,Non-essential
Hum_XLOC_000486,Non-essential
Hum_XLOC_000490,Non-essential
Hum_XLOC_000498,Non-essential
Hum_XLOC_000500,Non-essential
Hum_XLOC_000510,Non-essential
Hum_XLOC_000535,Non-essential
Hum_XLOC_000540,Non-essential
Hum_XLOC_000556,Non-essential
Hum_XLOC_000574,Non-essential
Hum_XLOC_000575,Non-essential
Hum_XLOC_000582,Non-essential
