target,unified_ID,Annotated_ID,cancer_related,Paper_cancer,validation,Paper_validation,group,LN18.lfc,LN229.lfc,A549.lfc,NCIH460.lfc,KP4.lfc,MIAPACA2.lfc
human_lncrna_fused_10388,human_lncrna_fused_10388,HSALNT0162188,NO,,,,Common essential,-0.573585,-1.2385415000000002,-1.9735265,-1.3574600000000001,-4.16428,-0.90735
human_lncrna_fused_10533,human_lncrna_fused_10533,HSALNT0162743,NO,,,,MIAPACA2,-0.5161,-0.774135,-0.07057500000000001,0.097055,-0.0939035,-2.23705
human_lncrna_fused_1179,human_lncrna_fused_1179,HSALNG0001650,NO,,,,Common essential,-2.846985,-0.7213529999999999,-0.6967850000000001,-0.021415000000000017,-2.06245,-1.6350117000000002
human_lncrna_fused_11899,human_lncrna_fused_11899,lnc-R3HCC1L-2,NO,,,,LN229,-0.10159499999999999,-1.83845,-0.41757500000000003,-0.266745,-0.661555,-0.44728499999999993
human_lncrna_fused_12078,human_lncrna_fused_12078,C10orf95-AS1;RPARP-AS1,YES,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8520480/;https://pubmed.ncbi.nlm.nih.gov/35837104/;https://pubmed.ncbi.nlm.nih.gov/32190687/;https://pubmed.ncbi.nlm.nih.gov/34558724/;https://pubmed.ncbi.nlm.nih.gov/34675548/,YES,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8520480/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9273977/,Common essential,-1.709515,0.10289999999999999,-0.10248125000000001,0.395655,-1.51375,-0.480406
human_lncrna_fused_12101,human_lncrna_fused_12101,URS0000D58F40_9606,NO,,,,KP4,-0.20521999999999999,-0.2992375,0.23027999999999998,-0.002464999999999995,-0.887325,-0.009984999999999994
human_lncrna_fused_12457,human_lncrna_fused_12457,HSALNG0080814,NO,,,,Common essential,-0.15912,-1.2135,-0.03836999999999999,0.04598500000000001,-0.23594700000000002,-1.6767999999999998
human_lncrna_fused_1284,human_lncrna_fused_1284,HSALNG0001810,NO,,,,LN229,-0.9114949999999999,-1.42198,-0.396695,-0.5710500000000001,-0.9803900000000001,-0.45159499999999997
human_lncrna_fused_12861,human_lncrna_fused_12861,ENSG00000282787,NO,,,,LN18,-1.37915,-0.114245,-0.3679,-0.5248349999999999,-0.382132,-0.025649999999999992
human_lncrna_fused_13785,human_lncrna_fused_13785,SPON1-AS1,NO,,,,Common essential,-2.664,-1.2116500000000001,-0.096175,-0.703944,-0.339225,-0.722055
