id,num,pos|score,pos|p-value,pos|fdr,pos|goodsgrna,pos|rank
ENST00000435733_AC084809.2_lncrna-promoter,10,1.79E-06,2.01E-05,0.013090204,9,1
ENST00000554328_RP11-111A21.1_lncrna-promoter,2,4.71E-05,0.00027248,0.08882848,2,2
ENST00000561344_NR2F2-AS1_lncrna-long-long,2,8.03E-05,0.0004962,NA,1,3
ENST00000443063_AL022476.2_lncrna-promoter,4,0.00029534,0.0014771,0.2082814,4,4
ENST00000435559_RP11-86H7.7_lncrna-promoter,11,0.00032511,0.0015861,0.2082814,3,5
ENST00000466734_LINC00883_lncrna-long,7,0.0003484,0.0017008,0.2082814,6,6
ENST00000498938_RP11-279F6.1_lncrna-long-long,2,0.00040147,0.0019303,NA,1,7
ENST00000567253_RP11-723O4.9_lncrna-promoter,10,0.00044895,0.0021368,0.2082814,7,8
ENST00000444463_LINC00176_lncrna-promoter,10,0.00051344,0.0023777,0.2082814,6,9
ENST00000566922_LA16c-385E7.1_lncrna-promoter,10,0.00055248,0.0025556,0.2082814,5,10
ENST00000558334_RP11-617F23.1_lncrna-long,8,0.00078127,0.0034849,0.252461644,5,11
ENST00000563592_ADPGK-AS1_lncrna-long,8,0.0008773,0.0038807,0.25302164,4,12
ENST00000424612_AC017074.2_lncrna-promoter,9,0.0010836,0.0046321,0.2745572,3,13
ENST00000362227_MIR503HG_lncrna-promoter,11,0.0013661,0.0057507,0.3124547,7,14
ENST00000499966_LINC00920_lncrna-long,8,0.0017277,0.0070127,0.328729086,4,15
ENST00000554631_DICER1-AS1_lncrna-long,8,0.0017486,0.0070586,0.328729086,4,16
ENST00000500765_FAM13A-AS1_lncrna-long,8,0.0021406,0.0083895,0.330470857,5,17
ENST00000427501_SNHG5_lncrna-long-long,2,0.002167,0.0084927,NA,1,18
ENST00000457898_RP4-798A10.2_lncrna-promoter,9,0.0025267,0.0096629,0.330470857,4,19
ENST00000449307_GS1-124K5.11_lncrna-promoter,7,0.0025288,0.0096687,0.330470857,5,20
ENST00000576963_RP11-353N14.2_lncrna-long,8,0.0028607,0.010845,0.330470857,4,21
ENST00000509449_RP11-360F5.1_lncrna-long,8,0.0028872,0.010896,NA,1,22
ENST00000429159_MEG3_lncrna-long-long,2,0.0031914,0.011803,0.330470857,2,23
ENST00000421762_RP11-57H12.3_lncrna-long,8,0.0033394,0.01225,0.330470857,4,24
ENST00000431296_LINC00202-1_lncrna-promoter,6,0.0038382,0.013873,0.330470857,4,25
ENST00000290295_HOXB13_promoter,19,0.0038425,0.013885,0.330470857,9,26
ENST00000425879_LINC01114_lncrna-promoter,10,0.0040745,0.014613,0.330470857,5,27
ENST00000360902_AC004893.11_lncrna-long,8,0.0041681,0.014889,0.330470857,2,28
ENST00000610091_RP11-417J8.6_lncrna-long-long,2,0.0043095,0.015411,0.330470857,2,29
ENST00000418015_RP11-418J17.1_lncrna-long,8,0.0043915,0.015629,0.330470857,4,30
ENST00000412178_HM13-AS1_lncrna-promoter,10,0.0044047,0.015657,0.330470857,3,31
ENST00000440971_AC002467.7_lncrna-promoter,10,0.0044078,0.015663,NA,1,32
ENST00000431979_LINC01087_lncrna-long,7,0.0044875,0.015921,0.330470857,4,33
ENST00000562231_RP11-314O13.1_lncrna-long-long,2,0.004588,0.016191,0.330470857,2,34
ENST00000558702_RP11-253M7.4_lncrna-promoter,9,0.0047787,0.016661,0.330470857,4,35
ENST00000434418_LINC01090_lncrna-long,8,0.004808,0.016753,0.330470857,2,36
ENST00000418282_BPESC1_lncrna-promoter,11,0.0049391,0.017143,0.330470857,5,37
ENST00000250448_FOXA1_promoter-long,26,0.00505,0.017505,0.330470857,10,38
ENST00000429456_AC093642.3_lncrna-promoter,10,0.0050809,0.017596,0.330470857,3,39
ENST00000521558_RP11-1081M5.1_lncrna-long-long,2,0.0051365,0.01774,0.330470857,2,40
ENST00000521586_RP11-382A18.2_lncrna-long,8,0.005344,0.018422,0.333642889,4,41
ENST00000412446_LINC00476_lncrna-long,8,0.0056105,0.019266,0.339498162,3,42
ENST00000526061_RP11-1L12.3_lncrna-long,8,0.0059492,0.020212,0.346795368,5,43
ENST00000394668_RPL34_promoter-long,27,0.0062172,0.020981,0.346801905,10,44
ENST00000452787_AC007163.3_lncrna-long,8,0.0064646,0.021709,0.346801905,4,45
ENST00000456588_RP11-521J24.1_lncrna-promoter,7,0.0065373,0.021927,0.346801905,3,46
ENST00000421324_LINC00856_lncrna-long,8,0.006673,0.02234,0.346801905,5,47
ENST00000513892_RP11-468H14.2_lncrna-promoter,8,0.0067255,0.022472,NA,1,48
ENST00000274065_RPS3A_strand,9,0.0068449,0.02296,0.348137674,3,49
ENST00000557481_CTD-3049M7.1_lncrna-promoter,8,0.0070699,0.023683,0.350939,4,50
ENST00000551571_RP11-121E16.1_lncrna-long,8,0.0073639,0.024555,NA,1,51
ENST00000502766_RP11-26J3.1_lncrna-promoter,9,0.0074227,0.024738,0.358426133,4,52
ENST00000432386_NBPF18P_lncrna-long-long,2,0.0074541,0.024824,NA,1,53
ENST00000423311_CTA-714B7.5_lncrna-promoter,9,0.00773,0.025662,0.363730957,4,54
ENST00000429139_MIR181A2HG_lncrna-long,8,0.008002,0.026293,NA,1,55
ENST00000482003_RP11-47P18.1_lncrna-long,8,0.0081295,0.02662,0.369281702,5,56
ENST00000522735_UBXN8_lncrna-long-long,2,0.008254,0.026964,NA,1,57
ENST00000415611_AC005682.5_lncrna-long,8,0.0084347,0.027515,0.373745417,3,58
ENST00000552061_RP3-405J10.3_lncrna-long,8,0.0091428,0.029499,0.38975256,3,59
ENST00000564211_RP11-37C7.3_lncrna-promoter,8,0.0092743,0.029889,0.38975256,5,60
ENST00000442969_ANKRD20A19P_lncrna-long-long,2,0.0095331,0.030578,NA,1,61
ENST00000461286_RFPL1S_lncrna-long,8,0.0098805,0.031725,0.399149385,5,62
ENST00000421324_LINC00856_lncrna-promoter,8,0.0099142,0.031834,0.399149385,3,63
ENST00000606388_RP11-545I5.3_lncrna-long,8,0.010551,0.033589,0.403080889,3,64
ENST00000541723_FAM222A-AS1_lncrna-long,8,0.010856,0.03437,0.403080889,3,65
ENST00000441399_RAP2C-AS1_lncrna-long,8,0.011187,0.035236,0.403080889,2,66
ENST00000554328_RP11-111A21.1_lncrna-long,7,0.011352,0.035718,0.403080889,2,67
ENST00000429493_RP11-220I1.1_lncrna-long-long,2,0.012568,0.03885,NA,1,68
ENST00000502209_RP11-308B16.2_lncrna-promoter,4,0.012946,0.039853,NA,1,69
ENST00000571113_RP11-497H17.1_lncrna-long,8,0.013061,0.040135,0.403080889,4,70
ENST00000354752_ANKRD18CP_lncrna-long-long,2,0.013511,0.04127,0.403080889,2,71
ENST00000558245_RP11-462P6.1_lncrna-long-long,2,0.014287,0.043135,0.403080889,2,72
ENST00000430666_DLG1-AS1_lncrna-long,8,0.014363,0.043318,0.403080889,3,73
ENST00000413483_CD81-AS1_lncrna-promoter,11,0.014735,0.044259,0.403080889,5,74
ENST00000563592_ADPGK-AS1_lncrna-promoter,10,0.014757,0.044328,NA,1,75
ENST00000534336_MALAT1_lncrna-long,8,0.015097,0.045177,0.403080889,4,76
