Human_ID,group_day14,ENSEMBL_ID,HGNC symbol,hgnc_symbol,merged_hgnc
Hum_XLOC_000006,Partially shared,ENSG00000237491,LINC01409,LINC01409,LINC01409
Hum_XLOC_000108,Cell-type specific,,,,
Hum_XLOC_000134,Partially shared,,,,
Hum_XLOC_000242,Partially shared,ENSG00000261135|ENSG00000224174,,,
Hum_XLOC_000286,Cell-type specific,ENSG00000230424,EMC1-AS1,EMC1-AS1,EMC1-AS1
Hum_XLOC_000314,Partially shared,ENSG00000203394,,,
Hum_XLOC_000345,Cell-type specific,,,,
Hum_XLOC_000436,Cell-type specific,ENSG00000237429,,,
Hum_XLOC_000456,Cell-type specific,ENSG00000229388|ENSG00000270103,,,
Hum_XLOC_000474,Cell-type specific,,,,
Hum_XLOC_000556,Cell-type specific,,,,
Hum_XLOC_000601,Partially shared,ENSG00000228436,RRAGC-DT,RRAGC-DT,RRAGC-DT
Hum_XLOC_000636,Partially shared,,SLFNL1-AS1,SLFNL1-AS1,SLFNL1-AS1
Hum_XLOC_000854,Cell-type specific,ENSG00000234807,LINC01135,LINC01135,LINC01135
Hum_XLOC_001138,Cell-type specific,ENSG00000235501,CNN3-DT,CNN3-DT,CNN3-DT
Hum_XLOC_001306,Cell-type specific,ENSG00000224167,LINC01357,LINC01357,LINC01357
Hum_XLOC_001308,Shared,ENSG00000226419,SLC16A1-AS1,SLC16A1-AS1,SLC16A1-AS1
Hum_XLOC_001366,Partially shared,ENSG00000231365,WARS2-AS1,WARS2-AS1,WARS2-AS1
Hum_XLOC_001490,Cell-type specific,ENSG00000230186,,,
Hum_XLOC_001580,Partially shared,,,,
Hum_XLOC_001592,Shared,,,,
Hum_XLOC_001615,Cell-type specific,ENSG00000235919|ENSG00000225082,ASH1L-AS1,ASH1L-AS1,ASH1L-AS1
Hum_XLOC_001731,Partially shared,,,,
Hum_XLOC_001773,Partially shared,ENSG00000224358,TMCO1-AS1,TMCO1-AS1,TMCO1-AS1
Hum_XLOC_001809,Cell-type specific,,,,
Hum_XLOC_001845,Partially shared,,,,
Hum_XLOC_001961,Cell-type specific,,,,
Hum_XLOC_002024,Cell-type specific,ENSG00000230623,,,
Hum_XLOC_002028,Partially shared,ENSG00000260088,DDX59-AS1,DDX59-AS1,DDX59-AS1
Hum_XLOC_002061,Cell-type specific,ENSG00000234996|ENSG00000243113,,,
Hum_XLOC_002068,Partially shared,,,,
Hum_XLOC_002134,Partially shared,,,,
Hum_XLOC_002170,Cell-type specific,ENSG00000229258,LPGAT1-AS1,LPGAT1-AS1,LPGAT1-AS1
Hum_XLOC_002265,Partially shared,ENSG00000237101,,,
Hum_XLOC_002302,Partially shared,,,,
Hum_XLOC_002311,Cell-type specific,,,,
Hum_XLOC_002314,Partially shared,ENSG00000231563,,,
Hum_XLOC_002408,Partially shared,,,,
Hum_XLOC_002471,Cell-type specific,,,,
Hum_XLOC_002493,Partially shared,,,,
Hum_XLOC_002525,Partially shared,,,,
Hum_XLOC_002560,Partially shared,ENSG00000233542,,,
