tl_exon1_gwas_associations,tl_exon1_min_p_value,tl_exon2_gwas_associations,tl_exon2_min_p_value,tr_exon1_gwas_associations,tr_exon1_min_p_value,tr_exon2_gwas_associations,tr_exon2_min_p_value
1,1,1,1,1,1,1,1
1,"NA",21,6.499999999999999e-12,1,"NA",1,"NA"
1,"NA",1,3.6439999999999995e-07,1,"NA",1,"NA"
2,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",7,"NA",1,"NA",1,"NA"
1,"NA",6,2.841e-09,1,"NA",1,"NA"
2,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",6,6.886e-07
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,6.47e-06,1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",9,3.5e-07,1,"NA",9,3.5e-07
1,"NA",1,9.514e-07,1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",2,2.2999999999999997e-51,1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",4,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",3,4.74e-06,1,"NA"
1,"NA",1,"NA",2,9.831e-08,1,"NA"
2,3.25173e-06,12,5.507000000000001e-12,1,"NA",1,"NA"
2,4.5e-10,1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",5,3.5e-08,1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",5,1.8000000000000002e-10,1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",2,3.238988e-19,1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,5.24e-10,1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,1.1002499999999999e-08,1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,"NA",3,1.4e-11,1,"NA",1,"NA"
2,2.036e-07,1,"NA",1,"NA",1,"NA"
1,"NA",2,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
1,2.238e-06,1,"NA",1,"NA",1,"NA"
1,"NA",1,"NA",1,"NA",1,"NA"
0,"NA",0,"NA",0,"NA",0,"NA"
0,"NA",0,"NA",0,"NA",0,"NA"
