"H2AFZ_AvgSignal","H2AFZ_MaxSignal","H2AFZ_MaxScaledSignal","H2AK5ac_AvgSignal","H2AK5ac_MaxSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_AvgSignal","H2AK9ac_MaxSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_AvgSignal","H2BK120ac_MaxSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_AvgSignal","H2BK12ac_MaxSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_AvgSignal","H2BK15ac_MaxSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_AvgSignal","H2BK20ac_MaxSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_AvgSignal","H2BK5ac_MaxSignal","H2BK5ac_MaxScaledSignal","H3F3A_AvgSignal","H3F3A_MaxSignal","H3F3A_MaxScaledSignal","H3K14ac_AvgSignal","H3K14ac_MaxSignal","H3K14ac_MaxScaledSignal","H3K18ac_AvgSignal","H3K18ac_MaxSignal","H3K18ac_MaxScaledSignal","H3K23ac_AvgSignal","H3K23ac_MaxSignal","H3K23ac_MaxScaledSignal","H3K23me2_AvgSignal","H3K23me2_MaxSignal","H3K23me2_MaxScaledSignal","H3K27ac_AvgSignal","H3K27ac_MaxSignal","H3K27ac_MaxScaledSignal","H3K27me3_AvgSignal","H3K27me3_MaxSignal","H3K27me3_MaxScaledSignal","H3K36me3_AvgSignal","H3K36me3_MaxSignal","H3K36me3_MaxScaledSignal","H3K4ac_AvgSignal","H3K4ac_MaxSignal","H3K4ac_MaxScaledSignal","H3K4me1_AvgSignal","H3K4me1_MaxSignal","H3K4me1_MaxScaledSignal","H3K4me2_AvgSignal","H3K4me2_MaxSignal","H3K4me2_MaxScaledSignal","H3K4me3_AvgSignal","H3K4me3_MaxSignal","H3K4me3_MaxScaledSignal","H3K56ac_AvgSignal","H3K56ac_MaxSignal","H3K56ac_MaxScaledSignal","H3K79me1_AvgSignal","H3K79me1_MaxSignal","H3K79me1_MaxScaledSignal","H3K79me2_AvgSignal","H3K79me2_MaxSignal","H3K79me2_MaxScaledSignal","H3K9ac_AvgSignal","H3K9ac_MaxSignal","H3K9ac_MaxScaledSignal","H3K9me1_AvgSignal","H3K9me1_MaxSignal","H3K9me1_MaxScaledSignal","H3K9me2_AvgSignal","H3K9me2_MaxSignal","H3K9me2_MaxScaledSignal","H3K9me3_AvgSignal","H3K9me3_MaxSignal","H3K9me3_MaxScaledSignal","H3T11ph_AvgSignal","H3T11ph_MaxSignal","H3T11ph_MaxScaledSignal","H4K12ac_AvgSignal","H4K12ac_MaxSignal","H4K12ac_MaxScaledSignal","H4K20me1_AvgSignal","H4K20me1_MaxSignal","H4K20me1_MaxScaledSignal","H4K5ac_AvgSignal","H4K5ac_MaxSignal","H4K5ac_MaxScaledSignal","H4K8ac_AvgSignal","H4K8ac_MaxSignal","H4K8ac_MaxScaledSignal","H4K91ac_AvgSignal","H4K91ac_MaxSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome","Dataset"
19.4744,6.39136,6.39136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.208,30.98174,30.9817,8.5423,10.39932,8.5423,0,0,0,0,0,0,158.86,8.03469,8.03469,168.634,24.7211,24.7211,266.747,22.55788,22.5579,0,0,0,0,0,0,1.93501,4.12802,1.93501,59.8178,25.27532,25.2753,0,0,0,0,0,0,16.4511,5.39851,5.39851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9428,64.3937,"lncrna-exon1"
301.891,30.05346,30.0535,1.48711,6.96171,1.39463,5.00201,9.57932,5.00201,15.5807,8.21434,7.48597,0.30209,3.83277,0.30209,6.05699,8.65893,6.05699,0,0,0,18.2867,8.19372,5.71811,0.954191,5.6689,0.498072,12.3015,8.12206,3.52089,23.5605,11.79629,7.07003,6.4271,7.19529,2.97178,0.91481,5.68489,0.91481,7472.56,85.21794,85.2179,17.7491,22.16842,6.51044,90.0459,31.1283,31.1283,18.9772,7.82024,4.04661,183.932,24.02133,8.12643,1161.25,57.11843,57.1184,31517.4,358.11444,270.543,12.3061,12.21324,12.2132,6.84643,6.33955,3.29409,40.9222,13.94438,13.9444,2035.26,62.91251,62.9125,0,0,0,0,0,0,0,0,0,0,0,0,4.32933,6.79526,4.32933,0,0,0,1.38003,6.44542,0.811981,20.0536,12.00197,8.23781,22.5289,12.97576,12.507,20.5845,0.503759,"lncrna-exon1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74335,6.55252,3.60806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55892,0.125313,"lncrna-exon2"
28.0159,9.49586,9.49586,0.507832,2.99745,0.507832,0,0,0,0,0,0,1.70552,4.3446,1.70552,2.95423,2.95423,2.95423,2.14688,5.77272,2.14688,0,0,0,0,0,0,1.05334,3.74864,1.05334,1.73902,6.18885,1.73902,0,0,0,0,0,0,94.6457,25.7128,25.7128,48.2765,7.95019,7.95019,0,0,0,2.01452,3.90011,2.01452,288.882,14.7094,14.7094,78.3972,15.38257,15.3826,14.0882,6.96409,6.96409,0,0,0,0,0,0,0,0,0,21.8117,11.64554,11.6455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07543,6.19651,1.07543,0,0,0,0,0,0,5.63513,67.6391,"lncrna-exon1"
21.8871,5.17967,5.17967,0,0,0,0,0,0,0,0,0,1.27256,3.44128,1.27256,0,0,0,0,0,0,0,0,0,5.09022,3.56931,3.56931,0,0,0,0,0,0,0,0,0,0,0,0,863.52,14.46175,14.4618,48.062,6.01245,6.01245,0,0,0,0,0,0,674.624,15.55867,15.5587,32.5285,5.38082,5.38082,271.244,11.40236,11.4024,0,0,0,0,0,0,0,0,0,27.6747,4.54011,4.54011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0147,59.7707,"lncrna-exon1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62808,10.5311,1.38567,523.225,15.80701,15.807,11.6989,5.48786,4.09736,0,0,0,1.96555,2.30528,1.96555,0,0,0,0.945364,7.48413,0.945364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28591,3.28591,3.28591,14.7802,6.36812,3.32362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2586,"lncrna-exon1"
440.697,23.6739,23.6739,9.97988,7.49443,7.49443,3.70412,5.24327,3.70412,16.0349,9.95862,8.06327,21.0647,8.05312,8.05312,5.51996,3.64449,3.64449,3.2717,4.65242,3.2717,19.2144,10.16022,10.1602,0,0,0,14.724,5.81598,5.32653,42.142,13.25166,13.2089,6.50528,4.96043,3.31229,9.9109,5.87319,5.8353,12218.2,91.02573,91.0257,109.668,17.63939,17.6394,129.054,41.76328,41.7633,27.8677,10.05871,10.0587,2566.22,28.59169,28.5917,1602.32,60.77319,60.7732,30349.3,160.7979,160.798,23.4784,12.21566,12.2157,2.69535,2.69535,2.69535,50.3858,20.11313,19.075,2262.27,68.07589,68.0759,0,0,0,0,0,0,0,0,0,0,0,0,2.33299,2.89291,2.33299,0,0,0,7.60898,7.60898,7.60898,51.4722,16.6402,16.6402,25.5223,10.53445,10.5344,18.9062,5.47133,"lncrna-exon1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41784,4.42683,0.965354,9.94356,11.79094,5.36317,68.1929,10.48262,3.76367,0,0,0,3.19476,7.0776,0.657462,0,0,0,5.41121,11.66051,2.2285,0,0,0,0,0,0,3.81455,8.39263,1.37485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042835,77.2877,"lncrna-exon2"
440.332,32.7664,32.7664,3.23071,7.33771,2.04829,10.1397,10.13968,10.1397,11.2563,10.81142,8.84087,5.99495,9.68802,3.03844,2.56624,5.07416,2.56624,1.6603,6.20322,1.6603,40.9865,26.12369,26.1237,11.7504,4.6108,4.0881,21.6392,13.8776,10.8013,26.6833,10.8653,8.81356,8.88735,9.9568,7.94582,7.5693,7.89647,2.78143,20666,224.28719,224.287,51.3324,12.95752,6.5631,160.019,43.55582,43.5558,18.4092,16.73547,13.4928,326.741,21.74052,14.4192,1577.66,49.54987,49.5499,29491.8,272.1571,272.157,21.2165,14.41585,11.4333,3.61632,6.1176,3.61632,25.4742,14.97374,14.9737,2606.1,84.43499,84.435,0,0,0,0,0,0,4.11142,6.78036,1.78138,0,0,0,0,0,0,1.15831,2.78819,1.15831,3.79279,5.63161,1.62753,38.2585,25.65365,21.7361,14.2491,8.34334,6.89113,19.4889,1.42208,"lncrna-exon1"
13.3553,5.90626,4.34905,10.1816,10.43206,6.7386,3.0046,3.94912,3.0046,16.9025,15.47717,14.9234,12.2065,11.32384,10.2789,10.8081,7.92611,7.26933,10.373,11.31018,10.373,11.6009,10.88653,10.21,1.56249,2.00891,1.56249,4.22114,8.69237,2.42273,5.39287,6.32744,3.25309,2.03334,5.42564,2.03334,0,0,0,791.207,82.48545,82.4855,33.1975,17.65589,7.00552,3.8274,3.8274,3.8274,15.603,14.31325,14.3133,754.22,41.65285,41.6529,261.325,17.56256,17.5626,856.565,131.14821,131.148,3.15209,8.04174,1.92335,1.77215,4.37681,1.77215,9.76762,4.84613,4.84613,30.9549,9.99743,8.16685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952905,3.41887,0.952905,16.9724,13.25876,12.285,12.6771,15.80168,12.6771,12.7023,55.5576,"lncrna-exon2"
