"H2AFZ_AvgSignal","H2AFZ_MaxSignal","H2AFZ_MaxScaledSignal","H2AK5ac_AvgSignal","H2AK5ac_MaxSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_AvgSignal","H2AK9ac_MaxSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_AvgSignal","H2BK120ac_MaxSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_AvgSignal","H2BK12ac_MaxSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_AvgSignal","H2BK15ac_MaxSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_AvgSignal","H2BK20ac_MaxSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_AvgSignal","H2BK5ac_MaxSignal","H2BK5ac_MaxScaledSignal","H3F3A_AvgSignal","H3F3A_MaxSignal","H3F3A_MaxScaledSignal","H3K14ac_AvgSignal","H3K14ac_MaxSignal","H3K14ac_MaxScaledSignal","H3K18ac_AvgSignal","H3K18ac_MaxSignal","H3K18ac_MaxScaledSignal","H3K23ac_AvgSignal","H3K23ac_MaxSignal","H3K23ac_MaxScaledSignal","H3K23me2_AvgSignal","H3K23me2_MaxSignal","H3K23me2_MaxScaledSignal","H3K27ac_AvgSignal","H3K27ac_MaxSignal","H3K27ac_MaxScaledSignal","H3K27me3_AvgSignal","H3K27me3_MaxSignal","H3K27me3_MaxScaledSignal","H3K36me3_AvgSignal","H3K36me3_MaxSignal","H3K36me3_MaxScaledSignal","H3K4ac_AvgSignal","H3K4ac_MaxSignal","H3K4ac_MaxScaledSignal","H3K4me1_AvgSignal","H3K4me1_MaxSignal","H3K4me1_MaxScaledSignal","H3K4me2_AvgSignal","H3K4me2_MaxSignal","H3K4me2_MaxScaledSignal","H3K4me3_AvgSignal","H3K4me3_MaxSignal","H3K4me3_MaxScaledSignal","H3K56ac_AvgSignal","H3K56ac_MaxSignal","H3K56ac_MaxScaledSignal","H3K79me1_AvgSignal","H3K79me1_MaxSignal","H3K79me1_MaxScaledSignal","H3K79me2_AvgSignal","H3K79me2_MaxSignal","H3K79me2_MaxScaledSignal","H3K9ac_AvgSignal","H3K9ac_MaxSignal","H3K9ac_MaxScaledSignal","H3K9me1_AvgSignal","H3K9me1_MaxSignal","H3K9me1_MaxScaledSignal","H3K9me2_AvgSignal","H3K9me2_MaxSignal","H3K9me2_MaxScaledSignal","H3K9me3_AvgSignal","H3K9me3_MaxSignal","H3K9me3_MaxScaledSignal","H3T11ph_AvgSignal","H3T11ph_MaxSignal","H3T11ph_MaxScaledSignal","H4K12ac_AvgSignal","H4K12ac_MaxSignal","H4K12ac_MaxScaledSignal","H4K20me1_AvgSignal","H4K20me1_MaxSignal","H4K20me1_MaxScaledSignal","H4K5ac_AvgSignal","H4K5ac_MaxSignal","H4K5ac_MaxScaledSignal","H4K8ac_AvgSignal","H4K8ac_MaxSignal","H4K8ac_MaxScaledSignal","H4K91ac_AvgSignal","H4K91ac_MaxSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome","Dataset"
3.74162,3.84289,2.9178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8223,46.82232,46.8223,0,0,0,4.35887,2.53672,2.53672,0,0,0,24.0224,11.26135,11.2614,10.51,9.14671,9.14671,4.64824,4.64824,4.64824,0,0,0,0,0,0,0,0,0,6.32056,6.32056,6.32056,0,0,0,3.53398,3.63551,1.91274,178.557,8.3751,8.3751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2725,70.7105,"lncrna-exon1-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96962,5.55667,4.99661,21.784,12.83147,7.51383,140.721,7.54764,7.02128,0,0,0,0,0,0,0,0,0,42.9562,9.23388,6.13419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321.03,28.45292,28.4529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258726,0,"lncrna-exon1-negative-control"
3.73646,3.73646,3.73646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79285,2.79285,2.79285,83.1274,9.58189,8.12039,0,0,0,0,0,0,8.09276,4.91595,4.23789,2.34887,3.06834,2.34887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.8099,8.03991,7.29691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00655766,70.109,"lncrna-exon1-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317.35,184.88985,184.89,68.1416,9.236,9.236,0,0,0,0,0,0,351.17,35.81483,35.8148,8.4311,13.13316,5.91714,0,0,0,0,0,0,0,0,0,20.9861,13.18743,13.1874,0,0,0,0,0,0,0,0,0,27.7357,4.41439,4.41439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118929,89.0564,"lncrna-exon1-negative-control"
551.784,31.48637,31.4864,4.85922,6.95254,2.2781,5.77029,5.77029,5.77029,16.9169,9.18992,6.4512,18.7554,6.67841,5.36544,11.7202,8.43363,3.63037,0.77135,4.39049,0.508832,25.2766,11.83881,9.76114,4.44542,3.3524,3.3524,16.0914,7.93299,6.70328,31.3528,12.76448,7.88873,4.52216,8.13177,3.8774,8.84621,7.31365,5.37626,4303.66,41.15763,41.1576,18.0421,16.25434,5.91291,53.1236,37.22749,37.2275,26.1945,9.23047,9.23047,1656.75,21.98424,21.9842,1533.55,71.44137,71.4414,30330.3,403.66241,375.593,12.797,18.4273,12.0205,9.40186,10.31414,7.61607,11.0623,7.14715,4.66063,1425.1,42.53781,42.397,0,0,0,0,0,0,0,0,0,0,0,0,1.78479,3.02812,1.78479,0,0,0,9.38592,6.71989,6.71989,50.6442,17.76212,17.7621,32.5932,13.91593,10.3449,19.5334,13.4094,"lncrna-exon1-negative-control"
33.6263,13.61575,13.6158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72938,4.73572,3.72938,4.30451,6.9009,3.45045,0,0,0,140.212,9.65049,9.65049,6308.76,288.51434,288.514,3.28082,14.18731,3.28082,0,0,0,1584.51,23.01049,23.0105,340.897,32.55626,32.5563,2418.13,133.76425,133.764,0,0,0,0,0,0,0,0,0,80.2132,19.92676,19.9268,0,0,0,0,0,0,25.5749,6.49032,6.49032,0,0,0,0,0,0,121.662,8.97239,8.97239,0,0,0,0,0,0,0,0,0,7.62638,7.70645,"lncrna-exon2-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16203,3.13195,1.16203,0,0,0,0,0,0,115.921,10.83743,10.8374,1694.61,53.076,53.076,5.46688,8.65602,3.96813,1.67182,2.95703,1.67182,54.8814,9.94851,8.06735,0,0,0,2.99232,3.75698,1.39067,0,0,0,0,0,0,0,0,0,4.88119,2.68079,2.65237,0,0,0,0,0,0,0.442617,6.95893,0.442617,0,0,0,0,0,0,6.64345,4.74385,2.35249,0,0,0,0,0,0,0,0,0,8.29992,64.8421,"lncrna-exon1-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07141,3.1107,3.1107,0,0,0,7.03605,7.03605,7.03605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1209,4.55166,4.2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lncrna-exon2-negative-control"
1.33157,5.98863,0.819387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26988,4.13445,2.19349,4.17351,4.17351,4.17351,0,0,0,0.121906,3.77037,0.121906,0.877517,3.83803,0.877517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64273,7.04418,4.00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180094,83.6469,"lncrna-exon2-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3304,9.75783,7.27195,49.5004,7.96623,5.82732,19.2789,19.27893,19.2789,0,0,0,124.85,7.75398,7.75398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75862,72.4925,"lncrna-exon1-negative-control"
