"H2AFZ_AvgSignal","H2AFZ_MaxSignal","H2AFZ_MaxScaledSignal","H2AK5ac_AvgSignal","H2AK5ac_MaxSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_AvgSignal","H2AK9ac_MaxSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_AvgSignal","H2BK120ac_MaxSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_AvgSignal","H2BK12ac_MaxSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_AvgSignal","H2BK15ac_MaxSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_AvgSignal","H2BK20ac_MaxSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_AvgSignal","H2BK5ac_MaxSignal","H2BK5ac_MaxScaledSignal","H3F3A_AvgSignal","H3F3A_MaxSignal","H3F3A_MaxScaledSignal","H3K14ac_AvgSignal","H3K14ac_MaxSignal","H3K14ac_MaxScaledSignal","H3K18ac_AvgSignal","H3K18ac_MaxSignal","H3K18ac_MaxScaledSignal","H3K23ac_AvgSignal","H3K23ac_MaxSignal","H3K23ac_MaxScaledSignal","H3K23me2_AvgSignal","H3K23me2_MaxSignal","H3K23me2_MaxScaledSignal","H3K27ac_AvgSignal","H3K27ac_MaxSignal","H3K27ac_MaxScaledSignal","H3K27me3_AvgSignal","H3K27me3_MaxSignal","H3K27me3_MaxScaledSignal","H3K36me3_AvgSignal","H3K36me3_MaxSignal","H3K36me3_MaxScaledSignal","H3K4ac_AvgSignal","H3K4ac_MaxSignal","H3K4ac_MaxScaledSignal","H3K4me1_AvgSignal","H3K4me1_MaxSignal","H3K4me1_MaxScaledSignal","H3K4me2_AvgSignal","H3K4me2_MaxSignal","H3K4me2_MaxScaledSignal","H3K4me3_AvgSignal","H3K4me3_MaxSignal","H3K4me3_MaxScaledSignal","H3K56ac_AvgSignal","H3K56ac_MaxSignal","H3K56ac_MaxScaledSignal","H3K79me1_AvgSignal","H3K79me1_MaxSignal","H3K79me1_MaxScaledSignal","H3K79me2_AvgSignal","H3K79me2_MaxSignal","H3K79me2_MaxScaledSignal","H3K9ac_AvgSignal","H3K9ac_MaxSignal","H3K9ac_MaxScaledSignal","H3K9me1_AvgSignal","H3K9me1_MaxSignal","H3K9me1_MaxScaledSignal","H3K9me2_AvgSignal","H3K9me2_MaxSignal","H3K9me2_MaxScaledSignal","H3K9me3_AvgSignal","H3K9me3_MaxSignal","H3K9me3_MaxScaledSignal","H3T11ph_AvgSignal","H3T11ph_MaxSignal","H3T11ph_MaxScaledSignal","H4K12ac_AvgSignal","H4K12ac_MaxSignal","H4K12ac_MaxScaledSignal","H4K20me1_AvgSignal","H4K20me1_MaxSignal","H4K20me1_MaxScaledSignal","H4K5ac_AvgSignal","H4K5ac_MaxSignal","H4K5ac_MaxScaledSignal","H4K8ac_AvgSignal","H4K8ac_MaxSignal","H4K8ac_MaxScaledSignal","H4K91ac_AvgSignal","H4K91ac_MaxSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome","Dataset"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0926,13.51624,13.5162,302.993,9.60106,8.34739,56.4858,8.84076,8.84076,0,0,0,17.8368,8.81064,6.25782,0,0,0,8.55006,8.44267,7.08926,0,0,0,3.36484,3.36484,3.36484,17.5529,17.55293,17.5529,2.74699,2.83351,2.74699,0,0,0,0,0,0,2.90371,10.56627,2.90371,0,0,0,0,0,0,22.4594,17.0806,17.0806,0,0,0,0,0,0,0,0,0,0.498634,76.5827,"protein-coding-exon3"
53.6815,16.58974,12.4867,5.32038,4.08085,4.08085,6.3869,6.3869,6.3869,3.0531,3.0531,3.0531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02733,5.99273,1.02733,0,0,0,4.79888,4.86843,4.79888,6.76593,3.84691,3.84691,5858.63,102.65309,102.653,14.6001,7.16134,7.16134,240.163,31.01456,31.0146,8.11068,10.51384,8.11068,3170.82,30.37867,30.3787,1585.71,51.30387,51.3039,45613.6,560.03528,416.874,13.8035,13.80346,13.8035,12.9187,5.50403,5.50403,406.795,15.98879,15.9888,2237.41,70.08512,70.0851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5798,5.36855,5.36855,0,0,0,25.2841,13.8081,13.8081,0.846705,6.58548,0.846705,0.0741449,15.562,"protein-coding-exon3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299105,3.83852,0.299105,0,0,0,0,0,0,0,0,0,0,0,0,13.6372,13.82272,12.3866,112.356,15.94646,15.9465,0,0,0,0,0,0,5.38513,8.20991,3.35931,1.75175,4.35112,1.75175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151428,48.8985,"protein-coding-exon3"
566.219,31.28427,31.2843,0.061035,2.4414,0.061035,3.54424,5.0632,3.54424,17.6914,13.83258,13.8326,6.82366,10.51813,5.24594,5.60319,6.22577,5.60319,0.197958,3.95915,0.197958,42.2847,18.5654,18.5654,0,0,0,28.463,13.29978,13.2998,22.5442,17.92396,10.0822,12.0914,12.09141,12.0914,0,0,0,16596.7,172.31274,172.313,38.5312,29.05727,29.0573,202.842,67.68231,67.6823,39.0856,18.15205,18.152,364.941,14.61112,14.6111,1209.69,51.76549,51.7655,41959.8,308.90082,308.901,52.2263,28.59735,28.5973,15.9593,11.36944,10.2325,294.269,15.09004,15.09,3726.2,97.79698,97.797,0,0,0,0,0,0,0,0,0,0,0,0,4.42428,7.53069,4.42428,0,0,0,18.3544,9.16257,9.16257,63.5891,21.46656,21.4666,34.4141,17.41934,17.4193,20.3431,0,"protein-coding-exon2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34641,3.34641,3.34641,0,0,0,0,0,0,0,0,0,0,0,0,21.3552,8.32657,8.32657,10.429,12.51478,10.429,352.769,14.0295,14.0295,0,0,0,69.6831,5.96207,5.96207,0,0,0,0.197647,4.40471,0.197647,0,0,0,0,0,0,9.36054,5.05969,5.05969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4261,7.90339,7.90339,0,0,0,0,0,0,0,0,0,9.22824,82.6466,"protein-coding-exon3"
0,0,0,0,0,0,3.11341,3.1919,3.11341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44483,3.44483,3.44483,0,0,0,0,0,0,0,0,0,0,0,0,193.823,32.21891,32.2189,27.8085,8.95167,8.8783,479.303,10.49765,10.4977,0,0,0,192.895,8.78696,8.78696,33.339,5.01265,5.01265,3.21206,7.92758,3.01711,0,0,0,3.91127,3.91127,3.91127,10.1185,3.84699,3.84699,9.56428,5.41529,5.41529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9459,20.58574,20.5857,0,0,0,0,0,0,0,0,0,10.8999,84.7594,"protein-coding-exon3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81578,3.81578,3.81578,0,0,0,0,0,0,0,0,0,0,0,0,47.7708,6.12539,6.12539,76.1879,19.77545,19.7754,318.747,10.47389,10.4739,0,0,0,50.1886,7.99826,5.94006,4.49005,4.49005,4.49005,3.42824,3.42824,3.42824,0,0,0,0,0,0,0,0,0,8.4701,5.52297,5.27419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84195,3.18136,3.18136,0,0,0,0,0,0,0,0,0,1.28683,75.9286,"protein-coding-exon3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337273,3.56947,0.337273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.813,22.77002,22.77,441.853,26.55942,26.5594,9.09216,6.66208,6.66208,0,0,0,38.1448,5.84219,5.34918,4.23586,2.67647,2.67647,7.2013,4.96872,4.96872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45644,6.16558,1.45644,0,0,0,0,0,0,0,0,0,0.589715,72.881,"protein-coding-exon2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4297,7.36065,6.83292,3.83163,4.82025,1.93986,1203.16,20.84661,20.8466,0,0,0,96.3512,6.85988,6.85988,2.55391,2.55391,2.55391,0,0,0,0,0,0,4.16153,5.05549,4.16153,53.9257,9.02882,9.02882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672888,2.98253,0.672888,0,0,0,0,0,0,0,0,0,3.70551,88.3471,"protein-coding-exon3"
2.20683,2.20683,2.20683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37997,2.76076,2.37997,0,0,0,0,0,0,5.61046,12.37829,4.47223,109.822,11.77141,11.1764,3.27851,3.5803,3.27851,0,0,0,67.3066,8.59408,8.59408,0,0,0,49.0758,14.37867,14.3787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35067,72.6654,"protein-coding-exon3"
