"H2AFZ_AvgSignal","H2AFZ_MaxSignal","H2AFZ_MaxScaledSignal","H2AK5ac_AvgSignal","H2AK5ac_MaxSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_AvgSignal","H2AK9ac_MaxSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_AvgSignal","H2BK120ac_MaxSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_AvgSignal","H2BK12ac_MaxSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_AvgSignal","H2BK15ac_MaxSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_AvgSignal","H2BK20ac_MaxSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_AvgSignal","H2BK5ac_MaxSignal","H2BK5ac_MaxScaledSignal","H3F3A_AvgSignal","H3F3A_MaxSignal","H3F3A_MaxScaledSignal","H3K14ac_AvgSignal","H3K14ac_MaxSignal","H3K14ac_MaxScaledSignal","H3K18ac_AvgSignal","H3K18ac_MaxSignal","H3K18ac_MaxScaledSignal","H3K23ac_AvgSignal","H3K23ac_MaxSignal","H3K23ac_MaxScaledSignal","H3K23me2_AvgSignal","H3K23me2_MaxSignal","H3K23me2_MaxScaledSignal","H3K27ac_AvgSignal","H3K27ac_MaxSignal","H3K27ac_MaxScaledSignal","H3K27me3_AvgSignal","H3K27me3_MaxSignal","H3K27me3_MaxScaledSignal","H3K36me3_AvgSignal","H3K36me3_MaxSignal","H3K36me3_MaxScaledSignal","H3K4ac_AvgSignal","H3K4ac_MaxSignal","H3K4ac_MaxScaledSignal","H3K4me1_AvgSignal","H3K4me1_MaxSignal","H3K4me1_MaxScaledSignal","H3K4me2_AvgSignal","H3K4me2_MaxSignal","H3K4me2_MaxScaledSignal","H3K4me3_AvgSignal","H3K4me3_MaxSignal","H3K4me3_MaxScaledSignal","H3K56ac_AvgSignal","H3K56ac_MaxSignal","H3K56ac_MaxScaledSignal","H3K79me1_AvgSignal","H3K79me1_MaxSignal","H3K79me1_MaxScaledSignal","H3K79me2_AvgSignal","H3K79me2_MaxSignal","H3K79me2_MaxScaledSignal","H3K9ac_AvgSignal","H3K9ac_MaxSignal","H3K9ac_MaxScaledSignal","H3K9me1_AvgSignal","H3K9me1_MaxSignal","H3K9me1_MaxScaledSignal","H3K9me2_AvgSignal","H3K9me2_MaxSignal","H3K9me2_MaxScaledSignal","H3K9me3_AvgSignal","H3K9me3_MaxSignal","H3K9me3_MaxScaledSignal","H3T11ph_AvgSignal","H3T11ph_MaxSignal","H3T11ph_MaxScaledSignal","H4K12ac_AvgSignal","H4K12ac_MaxSignal","H4K12ac_MaxScaledSignal","H4K20me1_AvgSignal","H4K20me1_MaxSignal","H4K20me1_MaxScaledSignal","H4K5ac_AvgSignal","H4K5ac_MaxSignal","H4K5ac_MaxScaledSignal","H4K8ac_AvgSignal","H4K8ac_MaxSignal","H4K8ac_MaxScaledSignal","H4K91ac_AvgSignal","H4K91ac_MaxSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome","Dataset"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676.298,58.23872,58.2387,33.3951,11.71693,6.06118,0,0,0,0,0,0,187.966,13.98871,13.9887,176.365,20.91512,20.9151,0,0,0,0,0,0,0,0,0,0,0,0,3.86877,6.86707,3.86877,0,0,0,0,0,0,73.2823,11.15115,11.1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.2782,"protein-exon2-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6655,10.24759,7.3125,0,0,0,0,0,0,3.01879,7.10026,1.51472,0.871936,4.0872,0.871936,5.47092,5.47092,5.47092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"protein-exon2-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52675,3.52675,3.52675,7.21717,4.42475,4.42475,3.38533,3.38533,3.38533,0,0,0,7.84624,5.11412,5.11412,3.94445,3.94445,3.94445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817841,54.0451,"protein-exon3-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31101,3.26641,1.31101,0,0,0,0,0,0,173.344,24.48285,24.4828,3.50868,4.81463,2.91913,212.595,11.13133,10.1372,0,0,0,32.2593,7.62753,6.10987,2.65038,4.32896,2.65038,9.62681,9.62681,9.62681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791626,3.75384,0.791626,0,0,0,0,0,0,0,0,0,3.56564,68.515,"protein-exon3-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6134,9.49635,9.49635,11.2743,6.90179,6.90179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26114,0,"protein-exon2-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.341,29.78269,29.7827,15.4064,9.83182,9.67451,781.49,18.85502,18.855,0,0,0,312.733,18.81165,18.8117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93118,2.93118,2.93118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204877,0,"protein-exon2-negative-control"
30.4131,15.7164,15.7164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70298,7.70298,7.70298,0,0,0,3552.71,194.32767,194.328,425.15,54.92678,54.9268,551.907,61.82321,61.8232,0,0,0,750.382,50.05672,50.0567,154.076,42.34859,42.3486,22900.9,235.31445,235.314,0,0,0,0,0,0,0,0,0,612.347,57.08543,57.0854,0,0,0,0,0,0,24.0632,10.51054,10.5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.6568,0.534461,"protein-exon3-negative-control"
34.5038,15.1491,7.83814,0.450462,6.51668,0.450462,0,0,0,6.92992,14.32184,6.92992,3.94527,12.05808,3.94527,0,0,0,4.43909,12.84376,4.43909,5.74169,15.19446,5.74169,3.3818,3.85049,2.12196,0,0,0,1.034,11.80941,1.034,0,0,0,0,0,0,2159.85,103.3274,103.327,42.449,6.53166,5.97188,8.05171,5.78986,5.78986,3.68628,9.8756,3.68628,529.572,17.54017,16.9912,189.529,13.32983,13.3298,119.716,24.42195,16.8815,0,0,0,0,0,0,0,0,0,104.021,30.73786,30.7379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2782,4.20256,1.2782,4.54788,14.09842,4.54788,2.91708,9.30892,2.91708,15.0781,69.0639,"protein-exon2-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70461,4.70461,4.70461,0,0,0,0,0,0,0,0,0,0,0,0,236.544,17.17486,16.9388,429.095,42.84969,42.8497,56.0762,20.34219,14.06,0,0,0,261.368,19.49788,19.4979,14.5465,6.09135,6.09135,25.0078,11.87868,11.8787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03728,7.44641,5.03728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474218,79.2444,"protein-exon2-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65298,3.65298,3.65298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145536,87.1034,"protein-exon2-negative-control"
