"H2AFZ_AvgSignal","H2AFZ_MaxSignal","H2AFZ_MaxScaledSignal","H2AK5ac_AvgSignal","H2AK5ac_MaxSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_AvgSignal","H2AK9ac_MaxSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_AvgSignal","H2BK120ac_MaxSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_AvgSignal","H2BK12ac_MaxSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_AvgSignal","H2BK15ac_MaxSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_AvgSignal","H2BK20ac_MaxSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_AvgSignal","H2BK5ac_MaxSignal","H2BK5ac_MaxScaledSignal","H3F3A_AvgSignal","H3F3A_MaxSignal","H3F3A_MaxScaledSignal","H3K14ac_AvgSignal","H3K14ac_MaxSignal","H3K14ac_MaxScaledSignal","H3K18ac_AvgSignal","H3K18ac_MaxSignal","H3K18ac_MaxScaledSignal","H3K23ac_AvgSignal","H3K23ac_MaxSignal","H3K23ac_MaxScaledSignal","H3K23me2_AvgSignal","H3K23me2_MaxSignal","H3K23me2_MaxScaledSignal","H3K27ac_AvgSignal","H3K27ac_MaxSignal","H3K27ac_MaxScaledSignal","H3K27me3_AvgSignal","H3K27me3_MaxSignal","H3K27me3_MaxScaledSignal","H3K36me3_AvgSignal","H3K36me3_MaxSignal","H3K36me3_MaxScaledSignal","H3K4ac_AvgSignal","H3K4ac_MaxSignal","H3K4ac_MaxScaledSignal","H3K4me1_AvgSignal","H3K4me1_MaxSignal","H3K4me1_MaxScaledSignal","H3K4me2_AvgSignal","H3K4me2_MaxSignal","H3K4me2_MaxScaledSignal","H3K4me3_AvgSignal","H3K4me3_MaxSignal","H3K4me3_MaxScaledSignal","H3K56ac_AvgSignal","H3K56ac_MaxSignal","H3K56ac_MaxScaledSignal","H3K79me1_AvgSignal","H3K79me1_MaxSignal","H3K79me1_MaxScaledSignal","H3K79me2_AvgSignal","H3K79me2_MaxSignal","H3K79me2_MaxScaledSignal","H3K9ac_AvgSignal","H3K9ac_MaxSignal","H3K9ac_MaxScaledSignal","H3K9me1_AvgSignal","H3K9me1_MaxSignal","H3K9me1_MaxScaledSignal","H3K9me2_AvgSignal","H3K9me2_MaxSignal","H3K9me2_MaxScaledSignal","H3K9me3_AvgSignal","H3K9me3_MaxSignal","H3K9me3_MaxScaledSignal","H3T11ph_AvgSignal","H3T11ph_MaxSignal","H3T11ph_MaxScaledSignal","H4K12ac_AvgSignal","H4K12ac_MaxSignal","H4K12ac_MaxScaledSignal","H4K20me1_AvgSignal","H4K20me1_MaxSignal","H4K20me1_MaxScaledSignal","H4K5ac_AvgSignal","H4K5ac_MaxSignal","H4K5ac_MaxScaledSignal","H4K8ac_AvgSignal","H4K8ac_MaxSignal","H4K8ac_MaxScaledSignal","H4K91ac_AvgSignal","H4K91ac_MaxSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome","Dataset"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53553,4.53553,4.53553,39.314,9.58189,8.04952,4037.69,49.97329,49.9733,0,0,0,0,0,0,0,0,0,249.533,12.1854,12.1854,0,0,0,0,0,0,4.71322,4.71322,4.71322,0,0,0,0,0,0,0,0,0,4639.63,64.11378,64.1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149834,87.5047,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55739,6.38465,0.55739,7.58328,7.46901,2.76015,3.2963,3.2963,3.2963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68517,5.99881,0.904582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53772,0,"short-ncrna"
4.36483,4.41247,2.30853,0,0,0,2.27589,5.09602,2.27589,0,0,0,0,0,0,0,0,0,0,0,0,0.0774672,3.98956,0.0774672,15.9663,4.42469,4.42469,0,0,0,0,0,0,0,0,0,0,0,0,670.426,205.05888,205.059,0,0,0,1097.53,25.31346,25.3135,0,0,0,316.643,25.71583,25.7158,0,0,0,10.1966,6.19098,6.19098,0,0,0,0,0,0,2.55691,4.24777,2.55691,16.3369,4.98949,3.88021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4677,5.16971,4.3337,0,0,0,0,0,0,0,0,0,26.9072,0,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18291,3.18291,3.18291,0,0,0,0,0,0,0,0,0,0,0,0,85.2259,39.43552,39.4355,0,0,0,1388.8,62.29232,62.2923,0,0,0,1.97453,1.97453,1.97453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"short-ncrna"
0,0,0,6.3818,6.3818,6.3818,0,0,0,4.54079,4.54079,4.54079,5.54431,5.54431,5.54431,5.65635,5.65635,5.65635,4.46074,4.46074,4.46074,0,0,0,0,0,0,2.79469,4.08775,2.79469,0,0,0,0,0,0,0,0,0,1989.36,45.7049,45.7049,58.3716,7.51917,7.51917,65.8858,6.32075,6.32075,7.85673,7.85673,7.85673,642.797,25.12144,25.1214,289.257,22.39026,22.3903,0,0,0,0,0,0,9.3341,4.87322,4.87322,16.1789,5.0006,5.0006,109.847,15.4083,15.4083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1936,13.36703,13.367,0,0,0,4.85603,5.22957,4.85603,4.03143,4.03143,4.03143,1.57541,0,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.967,14.93973,14.9397,0,0,0,9.78189,5.31456,5.31456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.421,2.82898,2.82898,0,0,0,0,0,0,2.44274,2.44274,2.44274,0,0,0,0,0,0,0,0,0,5.06122,77.2744,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55952,4.67418,4.37255,38.8948,7.02188,7.02188,187.733,12.51963,12.5196,0,0,0,7.43601,7.43601,7.43601,0,0,0,1.70251,3.75553,1.70251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2845,8.21525,8.21525,0,0,0,0,0,0,4.40649,4.40649,4.40649,0,0,0,0,0,0,0,0,0,0.208026,78.344,"short-ncrna"
33.0018,19.71557,19.7156,9.40825,9.40825,9.40825,9.41265,9.41265,9.41265,0,0,0,0,0,0,0,0,0,0,0,0,13.692,6.84283,6.84283,62.413,7.99376,7.99376,15.2015,12.69086,12.6909,16.0949,9.3308,9.3308,13.1417,11.08163,11.0816,13.4994,9.10297,9.10297,14066.8,165.20615,165.206,66.9066,13.06944,9.57892,2581.68,98.88799,98.888,31.1187,15.74379,15.7438,2763.16,31.63134,31.6313,1588.64,48.53798,48.538,49770.1,419.50732,419.507,42.2826,20.3839,20.3839,16.3765,5.03083,5.03083,625.545,52.4439,52.4439,3440.16,107.38895,107.389,0,0,0,0,0,0,0.550367,2.56838,0.550367,0,0,0,3.61627,3.61627,3.61627,309.118,17.08125,17.0813,0,0,0,17.3209,12.76904,12.769,7.46492,7.46492,7.46492,19.775,9.4599,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324557,2.50991,0.324557,0,0,0,0,0,0,0,0,0,0,0,0,31.7399,12.60151,5.64895,0,0,0,1604.81,32.05492,32.0549,0,0,0,6.72284,8.62548,3.59237,0,0,0,0,0,0,0,0,0,0,0,0,7.65875,4.53402,3.65662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86002,3.42023,2.86002,0,0,0,0,0,0,0,0,0,0,0,"short-ncrna"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06503,5.96829,5.96829,13.9374,6.66208,4.75384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942.202,35.9253,35.9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411906,70.6222,"short-ncrna"
