"H2AFZ_AvgSignal","H2AFZ_MaxSignal","H2AFZ_MaxScaledSignal","H2AK5ac_AvgSignal","H2AK5ac_MaxSignal","H2AK5ac_MaxScaledSignal","H2AK9ac_AvgSignal","H2AK9ac_MaxSignal","H2AK9ac_MaxScaledSignal","H2BK120ac_AvgSignal","H2BK120ac_MaxSignal","H2BK120ac_MaxScaledSignal","H2BK12ac_AvgSignal","H2BK12ac_MaxSignal","H2BK12ac_MaxScaledSignal","H2BK15ac_AvgSignal","H2BK15ac_MaxSignal","H2BK15ac_MaxScaledSignal","H2BK20ac_AvgSignal","H2BK20ac_MaxSignal","H2BK20ac_MaxScaledSignal","H2BK5ac_AvgSignal","H2BK5ac_MaxSignal","H2BK5ac_MaxScaledSignal","H3F3A_AvgSignal","H3F3A_MaxSignal","H3F3A_MaxScaledSignal","H3K14ac_AvgSignal","H3K14ac_MaxSignal","H3K14ac_MaxScaledSignal","H3K18ac_AvgSignal","H3K18ac_MaxSignal","H3K18ac_MaxScaledSignal","H3K23ac_AvgSignal","H3K23ac_MaxSignal","H3K23ac_MaxScaledSignal","H3K23me2_AvgSignal","H3K23me2_MaxSignal","H3K23me2_MaxScaledSignal","H3K27ac_AvgSignal","H3K27ac_MaxSignal","H3K27ac_MaxScaledSignal","H3K27me3_AvgSignal","H3K27me3_MaxSignal","H3K27me3_MaxScaledSignal","H3K36me3_AvgSignal","H3K36me3_MaxSignal","H3K36me3_MaxScaledSignal","H3K4ac_AvgSignal","H3K4ac_MaxSignal","H3K4ac_MaxScaledSignal","H3K4me1_AvgSignal","H3K4me1_MaxSignal","H3K4me1_MaxScaledSignal","H3K4me2_AvgSignal","H3K4me2_MaxSignal","H3K4me2_MaxScaledSignal","H3K4me3_AvgSignal","H3K4me3_MaxSignal","H3K4me3_MaxScaledSignal","H3K56ac_AvgSignal","H3K56ac_MaxSignal","H3K56ac_MaxScaledSignal","H3K79me1_AvgSignal","H3K79me1_MaxSignal","H3K79me1_MaxScaledSignal","H3K79me2_AvgSignal","H3K79me2_MaxSignal","H3K79me2_MaxScaledSignal","H3K9ac_AvgSignal","H3K9ac_MaxSignal","H3K9ac_MaxScaledSignal","H3K9me1_AvgSignal","H3K9me1_MaxSignal","H3K9me1_MaxScaledSignal","H3K9me2_AvgSignal","H3K9me2_MaxSignal","H3K9me2_MaxScaledSignal","H3K9me3_AvgSignal","H3K9me3_MaxSignal","H3K9me3_MaxScaledSignal","H3T11ph_AvgSignal","H3T11ph_MaxSignal","H3T11ph_MaxScaledSignal","H4K12ac_AvgSignal","H4K12ac_MaxSignal","H4K12ac_MaxScaledSignal","H4K20me1_AvgSignal","H4K20me1_MaxSignal","H4K20me1_MaxScaledSignal","H4K5ac_AvgSignal","H4K5ac_MaxSignal","H4K5ac_MaxScaledSignal","H4K8ac_AvgSignal","H4K8ac_MaxSignal","H4K8ac_MaxScaledSignal","H4K91ac_AvgSignal","H4K91ac_MaxSignal","H4K91ac_MaxScaledSignal","chrm_acc_MaxScaledSignal","methylome","Dataset"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8315.76,80.35522,80.3552,18.6892,7.10731,4.23928,101.079,18.65149,18.6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63729,4.63729,4.63729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2961,7.5956,"short-ncrna-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10557,5.10557,5.10557,0,0,0,105.06,10.07478,10.0748,13.5772,5.31308,4.61066,0,0,0,0,0,0,10.6023,6.95506,6.95506,0,0,0,1.50843,3.42824,1.50843,0,0,0,0,0,0,0,0,0,8.31395,4.65025,4.15973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5482,7.5242,7.5242,0,0,0,0,0,0,0,0,0,0.931339,60.7782,"short-ncrna-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8375.22,98.33662,98.3366,241.389,20.97563,20.9756,113.133,40.79594,40.7959,0,0,0,27.6042,6.40976,6.40976,0,0,0,4.87998,4.87998,4.87998,0,0,0,0,0,0,20.6897,7.70293,7.70293,0,0,0,0,0,0,0,0,0,39.5902,6.07742,6.07742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7149,12.2124,"short-ncrna-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7724,6.95773,6.95773,0,0,0,0,0,0,55.4798,15.57489,15.5749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43303,5.49395,2.43303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105175,57.8459,"short-ncrna-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81033,4.009,0.81033,0,0,0,81.5891,23.00551,23.0055,0,0,0,0,0,0,0,0,0,14.0002,5.18893,3.31416,1.65816,2.99744,1.65816,27.9652,11.23995,10.1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7894,6.56156,6.56156,0,0,0,0,0,0,1.76939,3.96007,1.76939,0.182981,88.3139,"short-ncrna-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.829,10.81213,10.8121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"short-ncrna-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.401,4.93802,4.93802,0,0,0,0,0,0,0,0,0,0,0,0,9.81961,29.57017,4.77155,0,0,0,0,0,0,0,0,0,12.6279,4.59721,4.59721,0,0,0,2.75771,2.75771,2.75771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129491,0,"short-ncrna-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0447,10.02587,8.28669,1.23991,3.19767,1.23991,0,0,0,13.7785,8.43683,8.43683,0,0,0,7.35564,8.19151,7.35564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02251,3.81166,2.02251,21.4158,7.23663,5.13707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"short-ncrna-negative-control"
0,0,0,2.93912,2.93912,2.93912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.264,39.32991,39.3299,4.53253,4.53253,4.53253,75.7111,12.19845,12.1984,0,0,0,635.949,16.33555,15.9687,221.035,13.98014,13.9801,7.9983,5.24558,3.51919,0,0,0,0,0,0,20.1953,12.18626,12.1863,49.232,8.71445,8.71445,0,0,0,0,0,0,1.27746,5.31156,1.27746,0,0,0,0,0,0,16.3106,3.87275,3.87275,0,0,0,0,0,0,0,0,0,0.00610597,0,"short-ncrna-negative-control"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.735,22.26882,22.2688,10.3099,8.99784,5.80518,0,0,0,0,0,0,0,0,0,0,0,0,142.377,51.61053,51.6105,0,0,0,0,0,0,0,0,0,23.5597,14.87791,14.4915,0,0,0,0,0,0,19.1446,8.9124,6.01876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35351,73.8233,"short-ncrna-negative-control"
