Functionality	H3F3A	H3K20me1	H3K23ac	H3K27ac	H3K36me3	H3K4me1	H3K4me3	H3K79me1	 H3K79me2	H3K9ac	H3K9me3	H4K4me2
No	0	0	0	28.6396	0	27.7809	0	0	0	0	11.3432	0
Yes	0	16.6567	0	24.4696	103.041	8.94562	5.0093	0	6.7189	0	3.95418	0
Yes	0	0	0	107.097	75.1574	284.44	0	0	0	0	0	0
Yes	0	0	0	107.097	75.1574	284.44	0	0	0	0	0	0
Yes	0	0	0	0	32.7552	0	0	0	3.74806	0	0	0
Yes	0	0	0	0	32.7552	0	0	0	3.74806	0	0	0
Yes	0	0	0	0	32.7552	0	0	0	3.74806	0	0	0
Yes	8.55987	0	0	25.7607	49.3396	0	0	0	21.6457	0	205.34	0
Yes	8.55987	0	0	25.7607	49.3396	0	0	0	21.6457	0	205.34	0
Yes	8.55987	0	0	25.7607	49.3396	0	0	0	21.6457	0	205.34	0
Yes	0	0	0	0	0	0	0	0	0	0	0	0
Yes	0	8.43351	0	0	74.9271	0	0	0	8.27136	0	1.5861	0
Yes	0	8.43351	0	0	74.9271	0	0	0	8.27136	0	1.5861	0
Yes	0	8.43351	0	0	74.9271	0	0	0	8.27136	0	1.5861	0
Yes	0	0	0	0	28.8682	0	0	0	9.4055	0	0	0
Yes	0	0	0	0	28.8682	0	0	0	9.4055	0	0	0
Yes	0	3.21548	0	0	28.2937	0	0	0.437274	0	0	0	0
Yes	0	0	0	0	53.958	0	0	0	6.83084	0	0	0
Yes	0	0	0	0	53.958	0	0	0	6.83084	0	0	0
Yes	0	0	0	1.42247	46.6333	5.60294	0	0	0	0	0	0
Yes	0	0	0	0.484757	30.6894	0	0	0	0	0	0	0
Yes	0	0	0	17.0542	136.233	50.1624	0	0	0	0	0	8.63872
Yes	0	0	0	17.0542	136.233	50.1624	0	0	0	0	0	8.63872
Yes	0	0	0	0	99.48	5.8797	0	0	0	0	0	2.83478
Yes	0	0	0	0	99.48	5.8797	0	0	0	0	0	2.83478
Yes	0	0	0	0	99.48	5.8797	0	0	0	0	0	2.83478
Yes	3.10198	1.41784	0	0	24.5562	2.57528	0	0	0	0	0	0
Yes	0	0	0	0	120.224	0	0	0	0	0	0	0
Yes	0	0	0	0	120.224	0	0	0	0	0	0	0
Yes	0	0	0	0	120.224	0	0	0	0	0	0	0
Yes	0	0	0	0	120.224	0	0	0	0	0	0	0
Yes	0	0	0	7.48297	13.9841	0	0	0	0	0	0	0
Yes	2.66647	0	0	0	40.9654	4.27455	0	0	0	0	0	0
Yes	2.74265	0	0	72.5189	53.1325	47.4153	1.90743	0	0	0	0	0.948251
Yes	2.74265	0	0	58.3896	47.4114	77.5185	2.52053	0	0	0	0	0
Yes	0	0	0	19.363	12.8527	35.9592	0	0	0	0	0	0
Yes	0	0	0	14.1412	25.3678	30.1929	0	0	0	0	0	0
Yes	0	0	0	14.1412	25.3678	30.1929	0	0	0	0	0	0
Yes	3.77321	4.39811	0	160.605	57.6078	216.455	5.24413	0	3.38857	0	0	64.0711
Yes	3.77321	0	0	304.13	21.2789	226.047	69.1821	0	0	27.2886	0	211.49
Yes	2.15412	4.0406	0	736.549	35.688	416.458	240.42	9.2078	0	33.6169	0	396.189
Yes	2.15412	4.0406	0	736.549	35.688	416.458	240.42	9.2078	0	33.6169	0	396.189
Yes	0	0	0	142.385	54.9303	188.388	0	0	0	0	0	41.4313
Yes	0	0	0	81.9147	12.6781	39.0012	0	0	0	0	0	0
Yes	3.33205	0	0	235.76	41.3833	151.023	0	4.4859	0	0	0	0
Yes	5.63111	0	0	946.095	80.2037	261.425	99.884	0	0	31.3668	0	141.903
Yes	0	0	0	39.6833	40.8807	7.45741	0	0	0	0	0	0
Yes	0	9.23381	0	0	98.7703	0	0	0	2.90016	0	23.347	0
No	0	16.0177	0	179.739	334.929	74.3921	0	0	5.89096	6.10986	59.6374	5.60426
No	0	16.0177	0	179.739	334.929	74.3921	0	0	5.89096	6.10986	59.6374	5.60426
No	0	4.53002	0	9.82608	97.2358	1.69915	9.7323	0	0	0	12.5883	0
Yes	0	9.28271	0	13.6103	100.866	0	0	5.16688	0	0	30.0563	0
Yes	61.9727	207.79	0	20174.9	10891.3	7059.72	50590.5	23.9532	2106.93	5654.23	0	3815.1
Yes	61.9727	207.79	0	20174.9	10891.3	7059.72	50590.5	23.9532	2106.93	5654.23	0	3815.1
Yes	61.9727	207.79	0	20174.9	10891.3	7059.72	50590.5	23.9532	2106.93	5654.23	0	3815.1
No	0	0	0	6.11512	0	3.95311	0	0	0	0	127.196	0
No	0	0	0	4.32151	0	0	1.87107	0	0	0	26.3237	0
No	0	0	0	0	0	6.53733	0	0	0	0	171.532	0
No	0	0	0	0	0	6.53733	0	0	0	0	171.532	0
No	0	0	0	13.6307	1.2697	45.5041	0	0	0	0	111.653	27.0076
No	0	0	0	0.42029	0	3.24349	0	0	0	0	6.42514	14.2509
No	0	0	0	59.5671	10.2693	11.8738	0	0	0	0	40.0317	0
No	0	0	0	25.5264	5.86252	0.878505	0	0	0	0	0.54314	0
No	0	0	0	0	0	0	0	0	0	0	0	0
Yes	30.1515	145.052	6.96258	3029.15	8252.36	1861.56	4141.31	33.9698	412.962	1625.24	0	853.04
Yes	30.1515	145.052	6.96258	3029.15	8252.36	1861.56	4141.31	33.9698	412.962	1625.24	0	853.04
No	0	0	4.28075	59.6841	2.58554	203.723	0	0	0	5.77318	29.6377	110.154
Yes	36.3716	763.26	0	2834.29	7851.41	2898.13	526.467	17.9075	0	30.6431	0	63.9154
Yes	36.3716	763.26	0	2834.29	7851.41	2898.13	526.467	17.9075	0	30.6431	0	63.9154
Yes	36.3716	763.26	0	2834.29	7851.41	2898.13	526.467	17.9075	0	30.6431	0	63.9154
No	0	19.9754	13.2186	682.835	145.231	150.463	31.4756	0	0	0	0	0
No	0	19.9754	13.2186	682.835	145.231	150.463	31.4756	0	0	0	0	0
No	0	19.9754	13.2186	682.835	145.231	150.463	31.4756	0	0	0	0	0
No	0	0	0	11.4647	0	0	19.4634	0	0	0	0	0
No	0	0	0	11.4647	0	0	19.4634	0	0	0	0	0
No	0	0	0	11.4647	0	0	19.4634	0	0	0	0	0
No	0	0	0	26.1673	0	67.6447	21.4613	0	0	0	20.7668	0
No	0	0	0	26.1673	0	67.6447	21.4613	0	0	0	20.7668	0
No	0	0	0	11.5271	0	0	0	0	0	0	0	0
No	0	0	0	40.3038	0	7.15436	0	0	0	0	6.3356	0
No	0	0	0	40.3038	0	7.15436	0	0	0	0	6.3356	0
No	0	0	0	30.1091	5.17432	4.94806	15.1819	0	0	0.516128	0	0
No	5.56747	0	0	339.439	11.7817	6.40561	39.6349	0	0	4.3412	1.69219	0
No	0	0	0	2063.72	72.5097	1603.2	12330.1	0	87.6073	734.099	0	1155.37
No	0	0	0	2063.72	72.5097	1603.2	12330.1	0	87.6073	734.099	0	1155.37
No	6.10936	0	0	203.373	24.3099	0	131.254	0	0	0	0	0
No	6.10936	0	0	203.373	24.3099	0	131.254	0	0	0	0	0
No	6.10936	0	0	203.373	24.3099	0	131.254	0	0	0	0	0
No	0	0	0	10.0668	3.98132	0	4.87933	0	0	2.78827	0	0
No	0	0	0	662.105	47.4368	223.79	46.3236	0	0	0	25.8126	0
No	0	0	0	662.105	47.4368	223.79	46.3236	0	0	0	25.8126	0
No	0	0	0	662.105	47.4368	223.79	46.3236	0	0	0	25.8126	0
No	3.51578	0	0	2.0262	0	19.5236	0	0	0	0	10.7245	0
No	0	0	0	6.6169	66.1334	16.2423	0	0	0	0	2005.18	0
No	0	0	0	6.6169	66.1334	16.2423	0	0	0	0	2005.18	0
Yes	4.10666	3.10294	4.95843	88.9031	345.39	201.312	3.64267	13.5572	59.2194	0	0	29.5588
No	4.386	0	0	80.269	7.30546	4.91392	4.24084	0	0	0	0	0
No	4.386	0	0	80.269	7.30546	4.91392	4.24084	0	0	0	0	0
Yes	97.7624	1001.77	0	2513.65	9765.91	2073.49	1148.03	41.3553	821.042	85.3808	0	308.616
Yes	97.7624	1001.77	0	2513.65	9765.91	2073.49	1148.03	41.3553	821.042	85.3808	0	308.616
No	20.7162	5.8794	0	391.991	86.8748	126.184	5.05779	0	0	0	7.5024	6.47743
No	20.7162	5.8794	0	391.991	86.8748	126.184	5.05779	0	0	0	7.5024	6.47743
No	6.54177	0	0	31.0399	0	14.2752	0	0	0	0	19.5492	3.98138
No	0	0	0	14.9393	0	0	0	0	0	0	129.589	0
No	0	0	0	5.34218	0	0	3.25269	0	0	0	163.158	0
Yes	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	2.78418	0	0	0	0	0	0	0
No	0	0	0	0	0	4.31011	0	0	0	0	0.851068	0
No	0	0	0	0	0	52.6898	4.78089	0	0	0	55.2448	0
No	0	0	0	0	0	4.49458	10.994	0	0	0	105.218	9.85251
No	0	0	0	0	38.2842	0	0	0	0	0	1182.29	150.297
No	0	0	0	0	38.2842	0	0	0	0	0	1182.29	150.297
No	0	0	0	156.144	0	50.9295	36.7875	0	3.63279	0	0	66.9588
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	44.6426	0
No	0	0	0	0	0	0	0	0	0	0	44.6426	0
No	0	0	0	43.6699	14.9973	69.8477	2.54421	0	0	0	180.209	0
No	0	0	0	0	35.6706	0	0	0	0	0	991.588	0
No	0	0	0	0	35.6706	0	0	0	0	0	991.588	0
No	0	0	0	0	35.6706	0	0	0	0	0	991.588	0
No	0	7.75986	0	13.6698	0	0	0.652249	0	0	0	2093.02	0
No	0	7.75986	0	13.6698	0	0	0.652249	0	0	0	2093.02	0
No	0	0.0564353	0	23.549	49.8819	30.5798	24.639	0	0	0	1304.61	0.506996
No	0	0	0	34.7433	13.2662	65.3099	42.3201	0	0	76.3092	1025.03	130.17
No	0	0	0	34.7433	13.2662	65.3099	42.3201	0	0	76.3092	1025.03	130.17
No	0	0	0	0	6.86665	9.94261	0	0	0	38.1546	214.035	38.0247
No	0	0	0	6.99577	24.4846	84.5549	8.38411	0	0	0	309.822	8.50395
No	0	6.11383	0	372.396	20.4381	254.724	19.263	0	0	10.0855	267.663	27.0103
No	0	6.11383	0	372.396	20.4381	254.724	19.263	0	0	10.0855	267.663	27.0103
No	0	0	0	328.232	147.618	133.379	0	0	0	0	1044.91	67.1399
No	0	0	0	328.232	147.618	133.379	0	0	0	0	1044.91	67.1399
No	0	0	0	328.232	147.618	133.379	0	0	0	0	1044.91	67.1399
No	0	2.59603	0	0	6.9987	0	9.80066	0	0	0	353.235	87.4994
No	0	0	0	96.0424	62.5729	810.592	23.1	0	0	0	1142.63	0
No	0	0	0	96.0424	62.5729	810.592	23.1	0	0	0	1142.63	0
No	0	0	0	96.0424	62.5729	810.592	23.1	0	0	0	1142.63	0
No	0	0	0	96.0424	62.5729	810.592	23.1	0	0	0	1142.63	0
No	0	0	0	41.0673	23.413	297.478	0	0	0	0	255.561	0
No	0	0	0	46.8505	24.0114	100.788	4.5771	0	0	0	223.927	57.4305
No	0	0	0	8.96416	14.8948	59.533	4.4726	0	0	0	295.139	0
No	0	0	0	2.11453	32.6452	0	0	0	0	0	518.58	0
No	0	0	0	2.11453	32.6452	0	0	0	0	0	518.58	0
No	0	0	0	702.739	46.4911	1831.53	403.645	0	0	19.9955	306.176	28.6714
No	0	0	0	763.157	20.5359	1825.52	373.292	0	0	19.9884	235.191	50.1119
No	0	0	0	419.762	33.9933	2331.11	151.918	0	0	15.131	504.117	45.9992
No	0	0	0	419.762	33.9933	2331.11	151.918	0	0	15.131	504.117	45.9992
No	0	0	0	65.5966	2.16057	87.4667	0	0	0	0	119.535	11.2698
No	0	0	0	318.394	4.95191	773.607	23.8844	0	0	0	209.965	4.39323
No	0	0	0	1529.69	18.4483	1485.53	970.397	0	0	21.6928	224.567	25.5631
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	68.4415	7.2565	62.8626	3.86409	0	0	0	143.47	0
No	0	0	0	4.05292	11.6748	0	0	0	0	0	178.474	0
No	0	0	0	0	9.56909	0	2.05602	0	0	0	221.056	0
No	0	0	0	119.931	0	29.6173	0	0	0	10.4465	339.129	0.0856116
No	0	0	0	119.931	0	29.6173	0	0	0	10.4465	339.129	0.0856116
No	0	0	0	119.931	0	29.6173	0	0	0	10.4465	339.129	0.0856116
No	0	0	0	15.647	0	0.501542	0	0	0	0	0.200404	0
No	0	0	0	8.3	19.1743	0	0	0	0	0	122.169	0
No	0	0	0	8.3	19.1743	0	0	0	0	0	122.169	0
No	0	0	0	5.21091	0	3.4169	0	0	0	0	0	0
Yes	56.7832	250.245	0	732.419	4865.56	1504.44	389.369	7.63508	210.771	19.4682	0	19.7934
No	23.9735	7.02027	0	111.376	0	540.176	34.584	0	0	15.6068	0	76.0311
No	23.9735	7.02027	0	111.376	0	540.176	34.584	0	0	15.6068	0	76.0311
No	23.9735	7.02027	0	111.376	0	540.176	34.584	0	0	15.6068	0	76.0311
No	0	0	0	0	5.83408	0	0	0	0	0	177.592	0
No	0	0	0	0	5.83408	0	0	0	0	0	177.592	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	9.83856	0	0	74.8013	0	0	0	0	0	0	0	0
No	9.83856	0	0	74.8013	0	0	0	0	0	0	0	0
No	0	0	0	2101.86	0	1109.59	0	0	0	0	0	19.6719
No	0	0	0	2101.86	0	1109.59	0	0	0	0	0	19.6719
Yes	0	0	0	877.246	28.7073	300.109	16.5591	0	0	55.4032	39.9107	0
Yes	0	0	0	877.246	28.7073	300.109	16.5591	0	0	55.4032	39.9107	0
No	0	0	0	1753.14	58.2158	413.045	475.062	0	0	92.0993	23.9451	60.1354
No	0	0	0	1753.14	58.2158	413.045	475.062	0	0	92.0993	23.9451	60.1354
Yes	0	0	0	37.1234	0	30.9479	0	0	14.0887	0	0	0
Yes	0	0	0	37.1234	0	30.9479	0	0	14.0887	0	0	0
No	0	0	0	50.1901	0	120.824	25.8191	0	0	0	6.84958	22.2718
No	0	0	0	50.1901	0	120.824	25.8191	0	0	0	6.84958	22.2718
Yes	0	0	0	0	0	12.3424	2.95212	0	0	0	0	0
Yes	13.566	0	0	1898.12	3187.99	997.418	632.306	0	16.4975	46.813	0	40.3921
Yes	13.566	0	0	1898.12	3187.99	997.418	632.306	0	16.4975	46.813	0	40.3921
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	3.40425	0	0	0	0	0	0	0	0
Yes	0	0	0	26.4587	0.471173	13.1827	6.30017	0	0	0	0	0
No	0	0	0	10.2887	0	10.4815	0	0	0	5.08641	0	0
