match,mis-match,rep.match,N_s,Q_gap_count,Q_gap_bases,T_gap_count,T_gap_bases,strand,Q_name_prefix,Q_name_suffix,Q_size,Q_start,Q_end,GeneID,TranscriptID,ExonNum,T_size,T_start,T_end,block_count,blockSizes,qStarts,tStarts,Probability_Functional,Essentiality_Status,coPARSE-lncRNA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000262362,23,0,23,ENSG00000272079.2,ENST00000607794.2,exon1,1268,54,77,1,"23,","0,","54,",0.208,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000262362,23,0,23,ENSG00000272079.2,ENST00000607794.2,exon1,1268,693,716,1,"23,","0,","693,",0.208,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000229893,23,0,23,ENSG00000229893.2,ENST00000441955.2,exon1,379,131,154,1,"23,","0,","131,",0.968,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000272070,23,0,23,ENSG00000272070.3,ENST00000606674.3,exon1,425,373,396,1,"23,","0,","373,",0.68,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000236908,23,0,23,ENSG00000236908.2,ENST00000432994.2,exon1,1008,946,969,1,"23,","0,","946,",0.056,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000236908,23,0,23,ENSG00000236908.2,ENST00000432994.2,exon1,1008,946,969,1,"23,","0,","946,",0.056,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000230084,23,0,23,ENSG00000230084.8,ENST00000702423.1,exon1,394,220,243,1,"23,","0,","220,",0.528,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000267575,23,0,23,ENSG00000267575.9,ENST00000585917.6,exon1,219,99,122,1,"23,","0,","99,",0.968,Essential,No
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000273015,23,0,23,ENSG00000289229.1,ENST00000687359.1,exon1,451,176,199,1,"23,","0,","176,",0.368,Essential,No
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000176593,23,0,23,ENSG00000176593.8,ENST00000550135.5,exon1,985,66,89,1,"23,","0,","66,",0.912,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000176593,23,0,23,ENSG00000176593.8,ENST00000550135.5,exon1,985,66,89,1,"23,","0,","66,",0.912,Essential,Yes
22,0,0,0,0,0,0,0,-,lncRNA,ENSG00000260517,23,0,22,ENSG00000261327.5,ENST00000568031.1,exon1,1312,1067,1089,1,"22,","1,","1067,",0.048,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000269867,23,0,23,ENSG00000293143.1,ENST00000604665.1,exon1,890,649,672,1,"23,","0,","649,",0.2,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000269867,23,0,23,ENSG00000269867.1,ENST00000597780.1,exon1,321,153,176,1,"23,","0,","153,",0.44,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000273184,23,0,23,ENSG00000273184.1,ENST00000462662.1,exon1,183,120,143,1,"23,","0,","120,",0.992,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000272692,23,0,23,ENSG00000273248.2,ENST00000609182.2,exon1,1119,637,660,1,"23,","0,","637,",0.64,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000271980,23,0,23,ENSG00000271715.1,ENST00000607847.1,exon1,429,330,353,1,"23,","0,","330,",0.056,Essential,No
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000227227,23,0,23,ENSG00000227227.1,ENST00000453665.1,exon1,130,77,100,1,"23,","0,","77,",0.96,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000268201,23,0,23,ENSG00000268201.1,ENST00000595301.1,exon1,477,186,209,1,"23,","0,","186,",0.12,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000268201,23,0,23,ENSG00000268201.1,ENST00000595301.1,exon1,477,231,254,1,"23,","0,","231,",0.12,Non-essential,NA
22,0,0,0,0,0,0,0,-,lncRNA,ENSG00000268201,23,0,22,ENSG00000268201.1,ENST00000595301.1,exon1,477,0,22,1,"22,","1,","0,",0.12,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000186019,23,0,23,ENSG00000186019.12,ENST00000661725.1,exon1,361,264,287,1,"23,","0,","264,",0.576,Essential,No
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000272483,23,0,23,ENSG00000272483.1,ENST00000606330.1,exon1,595,142,165,1,"23,","0,","142,",0.816,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000259767,23,0,23,ENSG00000259767.1,ENST00000560450.1,exon1,210,109,132,1,"23,","0,","109,",0.872,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000247903,23,0,23,ENSG00000247903.1,ENST00000500632.1,exon1,959,428,451,1,"23,","0,","428,",0.504,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000247903,23,0,23,ENSG00000247903.1,ENST00000500632.1,exon1,959,65,88,1,"23,","0,","65,",0.504,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000198106,23,0,23,ENSG00000198106.8,ENST00000604430.1,exon1,656,451,474,1,"23,","0,","451,",0.712,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000268798,23,0,23,ENSG00000268798.1,ENST00000594262.1,exon1,1099,319,342,1,"23,","0,","319,",0.368,Essential,Yes
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000262777,23,0,23,ENSG00000262777.1,ENST00000570924.1,exon1,444,176,199,1,"23,","0,","176,",0.984,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000258317,23,0,23,ENSG00000258317.1,ENST00000550947.1,exon1,378,65,88,1,"23,","0,","65,",0.944,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000258317,23,0,23,ENSG00000258317.1,ENST00000550947.1,exon1,378,65,88,1,"23,","0,","65,",0.944,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000265121,23,0,23,ENSG00000265121.1,ENST00000584075.1,exon1,596,198,221,1,"23,","0,","198,",0.184,Essential,Yes
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000265121,23,0,23,ENSG00000265121.1,ENST00000584075.1,exon1,596,131,154,1,"23,","0,","131,",0.184,Essential,Yes
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000235423,23,0,23,ENSG00000269980.1,ENST00000602352.1,exon1,342,21,44,1,"23,","0,","21,",0.944,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000273073,23,0,23,ENSG00000273073.1,ENST00000609270.1,exon1,274,142,165,1,"23,","0,","142,",0.112,Non-essential,NA
22,0,0,0,0,0,0,0,+,lncRNA,ENSG00000257761,23,1,23,ENSG00000288530.1,ENST00000546601.1,exon1,107,0,22,1,"22,","1,","0,",0.384,Essential,No
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000266369,23,0,23,ENSG00000266369.1,ENST00000578888.1,exon1,1371,319,342,1,"23,","0,","319,",0.016,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000230733,23,0,23,ENSG00000230733.2,ENST00000444210.2,exon1,1226,77,100,1,"23,","0,","77,",0.456,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000230733,23,0,23,ENSG00000230733.2,ENST00000444210.2,exon1,1226,197,220,1,"23,","0,","197,",0.456,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000273233,23,0,23,ENSG00000273233.1,ENST00000609581.1,exon1,425,241,264,1,"23,","0,","241,",0.456,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000253986,23,0,23,ENSG00000253986.1,ENST00000518590.1,exon1,394,153,176,1,"23,","0,","153,",0.432,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000264007,23,0,23,ENSG00000264007.1,ENST00000582367.1,exon1,637,44,67,1,"23,","0,","44,",0.48,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000258922,23,0,23,ENSG00000258922.1,ENST00000555325.1,exon1,118,76,99,1,"23,","0,","76,",0.44,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000273471,23,0,23,ENSG00000283684.1,ENST00000454928.5,exon1,634,209,232,1,"23,","0,","209,",0.104,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000272717,23,0,23,ENSG00000272717.1,ENST00000608402.1,exon1,844,472,495,1,"23,","0,","472,",0.584,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000272717,23,0,23,ENSG00000272717.1,ENST00000608402.1,exon1,844,253,276,1,"23,","0,","253,",0.584,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000270059,23,0,23,ENSG00000270059.1,ENST00000602316.1,exon1,449,165,188,1,"23,","0,","165,",0.36,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000234292,23,0,23,ENSG00000234292.3,ENST00000440769.3,exon1,1045,231,254,1,"23,","0,","231,",0.616,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000234292,23,0,23,ENSG00000234292.3,ENST00000440769.3,exon1,1045,231,254,1,"23,","0,","231,",0.616,Essential,Yes
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000261441,23,0,23,ENSG00000261441.1,ENST00000569473.1,exon1,1108,615,638,1,"23,","0,","615,",0.888,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000261441,23,0,23,ENSG00000261441.1,ENST00000569473.1,exon1,1108,164,187,1,"23,","0,","164,",0.888,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000261441,23,0,23,ENSG00000261441.1,ENST00000569473.1,exon1,1108,121,144,1,"23,","0,","121,",0.888,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000261327,23,0,23,ENSG00000261327.5,ENST00000568031.1,exon1,1312,362,385,1,"23,","0,","362,",0.048,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000261327,23,0,23,ENSG00000261327.5,ENST00000568031.1,exon1,1312,362,385,1,"23,","0,","362,",0.048,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000231064,23,0,23,ENSG00000231064.9,ENST00000447623.4,exon1,372,76,99,1,"23,","0,","76,",0.984,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000269902,23,0,23,ENSG00000269902.1,ENST00000602277.1,exon1,527,209,232,1,"23,","0,","209,",0.536,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000269902,23,0,23,ENSG00000270069.4,ENST00000602461.1,exon1,488,252,275,1,"23,","0,","252,",0.976,Non-essential,NA
22,0,0,0,0,0,0,0,+,lncRNA,ENSG00000271880,23,1,23,ENSG00000273413.1,ENST00000609363.1,exon1,93,0,22,1,"22,","1,","0,",0.92,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000271880,23,0,23,ENSG00000271880.1,ENST00000433214.2,exon1,174,55,78,1,"23,","0,","55,",0.736,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000233427,23,0,23,ENSG00000233427.1,ENST00000418471.1,exon1,315,22,45,1,"23,","0,","22,",0.112,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000270108,23,0,23,ENSG00000270108.1,ENST00000602827.1,exon1,551,263,286,1,"23,","0,","263,",0.6,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000270108,23,0,23,ENSG00000246451.2,ENST00000498989.2,exon1,1157,187,210,1,"23,","0,","187,",0.808,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000227373,23,0,23,ENSG00000227373.6,ENST00000665650.1,exon1,447,341,364,1,"23,","0,","341,",0.52,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000258875,23,0,23,ENSG00000258875.6,ENST00000553725.5,exon1,254,153,176,1,"23,","0,","153,",0.76,Essential,Yes
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000272508,23,0,23,ENSG00000272508.1,ENST00000444180.3,exon1,120,10,33,1,"23,","0,","10,",0.728,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000224992,23,0,23,ENSG00000224992.2,ENST00000451318.2,exon1,230,132,155,1,"23,","0,","132,",0.568,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000270104,23,0,23,ENSG00000270104.1,ENST00000602345.1,exon1,227,175,198,1,"23,","0,","175,",0.024,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000270104,23,0,23,ENSG00000270104.1,ENST00000602345.1,exon1,227,175,198,1,"23,","0,","175,",0.024,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000255135,23,0,23,ENSG00000255135.5,ENST00000658868.1,exon1,395,88,111,1,"23,","0,","88,",0.864,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000255135,23,0,23,ENSG00000255135.5,ENST00000658868.1,exon1,395,242,265,1,"23,","0,","242,",0.864,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000255031,23,0,23,ENSG00000255031.5,ENST00000529934.5,exon1,105,22,45,1,"23,","0,","22,",0.672,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000264235,23,0,23,ENSG00000264235.6,ENST00000578800.6,exon1,569,285,308,1,"23,","0,","285,",0.904,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000203709,23,0,23,ENSG00000289071.2,ENST00000685957.2,exon1,643,32,55,1,"23,","0,","32,",0.592,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000245694,23,0,23,ENSG00000289307.2,ENST00000686100.2,exon1,1093,208,231,1,"23,","0,","208,",0.416,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000225506,23,0,23,ENSG00000225506.2,ENST00000444042.2,exon1,81,55,78,1,"23,","0,","55,",0.2,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000226950,23,0,23,ENSG00000286161.1,ENST00000651729.1,exon1,493,131,154,1,"23,","0,","131,",0.976,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000230630,23,0,23,ENSG00000230630.5,ENST00000417354.3,exon1,186,11,34,1,"23,","0,","11,",1.0,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000205790,23,0,23,ENSG00000205790.1,ENST00000381796.1,exon1,257,220,243,1,"23,","0,","220,",0.632,Essential,No
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000205790,23,0,23,ENSG00000205790.1,ENST00000381796.1,exon1,257,208,231,1,"23,","0,","208,",0.632,Essential,No
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000260528,23,0,23,ENSG00000260528.7,ENST00000563357.1,exon1,171,0,23,1,"23,","0,","0,",0.368,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000229951,23,0,23,ENSG00000270640.1,ENST00000604052.1,exon1,295,55,78,1,"23,","0,","55,",0.984,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000225978,23,0,23,ENSG00000225978.3,ENST00000433161.1,exon1,1049,43,66,1,"23,","0,","43,",0.256,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000245526,23,0,23,ENSG00000289008.1,ENST00000691963.1,exon1,968,726,749,1,"23,","0,","726,",0.712,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000163364,23,0,23,ENSG00000163364.12,ENST00000695928.2,exon1,313,252,275,1,"23,","0,","252,",0.92,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000235475,23,0,23,ENSG00000273448.1,ENST00000609770.1,exon1,1336,1231,1254,1,"23,","0,","1231,",0.112,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000272888,23,0,23,ENSG00000288872.1,ENST00000688276.1,exon1,692,55,78,1,"23,","0,","55,",0.6,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000272888,23,0,23,ENSG00000288872.1,ENST00000688276.1,exon1,692,55,78,1,"23,","0,","55,",0.6,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000259439,23,0,23,ENSG00000236502.3,ENST00000693240.1,exon1,1336,1176,1199,1,"23,","0,","1176,",0.56,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000256232,23,0,23,ENSG00000256232.1,ENST00000541749.1,exon1,552,131,154,1,"23,","0,","131,",0.096,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000256232,23,0,23,ENSG00000256232.1,ENST00000541749.1,exon1,552,373,396,1,"23,","0,","373,",0.096,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000245468,23,0,23,ENSG00000245468.5,ENST00000663544.1,exon1,126,10,33,1,"23,","0,","10,",0.224,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000245532,23,0,23,ENSG00000245532.11,ENST00000499732.3,exon1,609,517,540,1,"23,","0,","517,",0.944,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000245532,23,0,23,ENSG00000245532.11,ENST00000499732.3,exon1,609,517,540,1,"23,","0,","517,",0.944,Essential,Yes
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000227533,23,0,23,ENSG00000227533.7,ENST00000431759.6,exon1,528,483,506,1,"23,","0,","483,",0.808,Essential,Yes
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000260233,23,0,23,ENSG00000289339.2,ENST00000687405.2,exon1,577,550,573,1,"23,","0,","550,",0.448,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000260233,23,0,23,ENSG00000290026.1,ENST00000702550.1,exon1,777,10,33,1,"23,","0,","10,",0.616,Non-essential,NA
23,0,0,0,0,0,0,0,-,lncRNA,ENSG00000229867,23,0,23,ENSG00000229867.2,ENST00000454260.1,exon1,757,121,144,1,"23,","0,","121,",0.72,Essential,No
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000251173,23,0,23,ENSG00000251173.1,ENST00000507190.1,exon1,168,77,100,1,"23,","0,","77,",0.336,Non-essential,NA
23,0,0,0,0,0,0,0,+,lncRNA,ENSG00000237149,23,0,23,ENSG00000237149.5,ENST00000466942.2,exon1,742,407,430,1,"23,","0,","407,",0.952,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000000000,23,0,23,ENSG00000254586.2,ENST00000524885.2,exon1,587,209,232,1,"23,","0,","209,",0.16,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000000000,23,0,23,ENSG00000254586.2,ENST00000524885.2,exon1,587,209,232,1,"23,","0,","209,",0.16,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000000000,23,0,23,ENSG00000254586.2,ENST00000524885.2,exon1,587,209,232,1,"23,","0,","209,",0.16,Non-essential,NA
23,0,0,0,0,0,0,0,-,posctl,ENSG00000000000,23,0,23,ENSG00000255335.2,ENST00000670639.1,exon1,175,10,33,1,"23,","0,","10,",0.152,Non-essential,NA
23,0,0,0,0,0,0,0,-,posctl,ENSG00000000000,23,0,23,ENSG00000255335.2,ENST00000670639.1,exon1,175,10,33,1,"23,","0,","10,",0.152,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000000000,23,0,23,ENSG00000254586.2,ENST00000524885.2,exon1,587,209,232,1,"23,","0,","209,",0.16,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000130600,23,0,23,ENSG00000130600.22,ENST00000414790.9,exon1,1325,374,397,1,"23,","0,","374,",0.816,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000130600,23,0,23,ENSG00000130600.22,ENST00000414790.9,exon1,1325,374,397,1,"23,","0,","374,",0.816,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000130600,23,0,23,ENSG00000130600.22,ENST00000414790.9,exon1,1325,374,397,1,"23,","0,","374,",0.816,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000130600,23,0,23,ENSG00000130600.22,ENST00000414790.9,exon1,1325,374,397,1,"23,","0,","374,",0.816,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000177410,23,0,23,ENSG00000177410.13,ENST00000417721.5,exon1,538,219,242,1,"23,","0,","219,",0.952,Non-essential,NA
23,0,0,0,0,0,0,0,-,posctl,ENSG00000230623,23,0,23,ENSG00000230623.8,ENST00000637430.1,exon1,93,65,88,1,"23,","0,","65,",0.064,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000201098,23,0,23,ENSG00000286947.1,ENST00000653789.1,exon1,943,176,199,1,"23,","0,","176,",0.824,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000201098,23,0,23,ENSG00000273356.1,ENST00000609204.1,exon1,484,175,198,1,"23,","0,","175,",0.0,Non-essential,NA
23,0,0,0,0,0,0,0,+,posctl,ENSG00000201098,23,0,23,ENSG00000256906.1,ENST00000535487.1,exon1,1313,869,892,1,"23,","0,","869,",0.016,Non-essential,NA
23,0,0,0,0,0,0,0,-,posctl,ENSG00000201098,23,0,23,ENSG00000259555.1,ENST00000559120.1,exon1,308,77,100,1,"23,","0,","77,",0.016,Non-essential,NA
22,0,0,0,0,0,0,0,-,posctl,ENSG00000201098,23,1,23,ENSG00000259442.1,ENST00000558342.1,exon1,96,33,55,1,"22,","0,","33,",0.016,Non-essential,NA
23,0,0,0,0,0,0,0,-,posctl,ENSG00000201098,23,0,23,ENSG00000246339.6,ENST00000664346.1,exon1,1211,923,946,1,"23,","0,","923,",0.064,Non-essential,NA
23,0,0,0,0,0,0,0,-,posctl,ENSG00000201098,23,0,23,ENSG00000293091.1,ENST00000547118.1,exon1,1132,264,287,1,"23,","0,","264,",0.376,Non-essential,NA
23,0,0,0,0,0,0,0,-,posctl,ENSG00000201098,23,0,23,ENSG00000280665.1,ENST00000629608.1,exon1,233,77,100,1,"23,","0,","77,",0.016,Non-essential,NA
