match,mis-match,rep.match,N_s,Q_gap_count,Q_gap_bases,T_gap_count,T_gap_bases,strand,Q_name_prefix,Q_name_suffix,Q_size,Q_start,Q_end,GeneID,TranscriptID,ExonNum,T_size,T_start,T_end,block_count,blockSizes,qStarts,tStarts,Probability_Functional,Essential_Status
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10006_3,30,0,30,ENSG00000227475.1,ENST00000412439.1,exon2,75,33,63,1,"30,","0,","33,",0.128,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_101_2,30,0,30,ENSG00000273443.1,ENST00000442292.2,exon2,600,51,81,1,"30,","0,","51,",0.512,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10259_1,30,0,30,ENSG00000277288.5,ENST00000623589.1,exon2,644,272,302,1,"30,","0,","272,",0.128,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10259_2,30,0,30,ENSG00000277288.5,ENST00000623589.1,exon2,644,161,191,1,"30,","0,","161,",0.128,NOT ESSENTIAL
25,0,0,0,0,0,0,0,+,human_lncrna,fused_10315_2,30,5,30,ENSG00000229723.1,ENST00000446989.1,exon2,112,0,25,1,"25,","5,","0,",0.112,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_10375_2,30,0,30,ENSG00000229227.8,ENST00000437899.5,exon2,245,182,212,1,"30,","0,","182,",0.616,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_10418_1,30,0,30,ENSG00000290453.1,ENST00000532854.5,exon2,189,48,78,1,"30,","0,","48,",0.792,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_10418_2,30,0,30,ENSG00000290737.1,ENST00000584747.5,exon2,208,29,59,1,"30,","0,","29,",0.8,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_10418_2,30,0,30,ENSG00000283913.1,ENST00000453174.7,exon2,208,28,58,1,"30,","0,","28,",0.384,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_10418_2,30,0,30,ENSG00000254929.6,ENST00000605970.5,exon2,208,29,59,1,"30,","0,","29,",0.92,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_1048_2,30,0,30,ENSG00000289402.2,ENST00000690199.1,exon2,621,357,387,1,"30,","0,","357,",0.16,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_1048_3,30,0,30,ENSG00000289402.2,ENST00000690199.1,exon2,621,120,150,1,"30,","0,","120,",0.16,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10609_2,30,0,30,ENSG00000287016.1,ENST00000655098.1,exon2,689,467,497,1,"30,","0,","467,",0.296,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10660_2,30,0,30,ENSG00000287969.1,ENST00000663923.1,exon2,182,150,180,1,"30,","0,","150,",0.28,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_1073_2,30,0,30,ENSG00000236936.1,ENST00000416959.1,exon2,403,74,104,1,"30,","0,","74,",0.92,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10968_2,30,0,30,ENSG00000289193.2,ENST00000690087.2,exon2,184,41,71,1,"30,","0,","41,",0.904,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_1098_3,30,0,30,ENSG00000293453.1,ENST00000637118.1,exon2,971,726,756,1,"30,","0,","726,",0.064,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_1106_4,30,0,30,ENSG00000285752.1,ENST00000649486.1,exon2,365,22,52,1,"30,","0,","22,",0.968,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_1107_2,30,0,30,ENSG00000285752.1,ENST00000649486.1,exon2,365,29,59,1,"30,","0,","29,",0.968,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_1107_3,30,0,30,ENSG00000285959.1,ENST00000650360.1,exon2,337,261,291,1,"30,","0,","261,",0.432,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11105_2,30,0,30,ENSG00000288559.1,ENST00000512551.1,exon2,162,126,156,1,"30,","0,","126,",0.664,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11174_2,30,0,30,ENSG00000237149.5,ENST00000466942.2,exon2,686,19,49,1,"30,","0,","19,",0.952,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_11316_3,30,0,30,ENSG00000224596.9,ENST00000428862.5,exon2,211,7,37,1,"30,","0,","7,",0.08,NOT ESSENTIAL
28,0,0,0,0,0,0,0,-,human_lncrna,fused_11329_2,30,0,28,ENSG00000235426.2,ENST00000438554.2,exon2,251,0,28,1,"28,","2,","0,",0.872,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_1154_2,30,0,30,ENSG00000284726.1,ENST00000641772.1,exon2,522,280,310,1,"30,","0,","280,",0.184,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_1156_1,30,0,30,ENSG00000249087.9,ENST00000437367.5,exon2,276,153,183,1,"30,","0,","153,",1.0,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11699_1,30,0,30,ENSG00000286981.1,ENST00000669365.1,exon2,761,711,741,1,"30,","0,","711,",0.12,NOT ESSENTIAL
26,0,0,0,0,0,0,0,-,human_lncrna,fused_11699_2,30,0,26,ENSG00000286981.1,ENST00000669365.1,exon2,761,0,26,1,"26,","4,","0,",0.12,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11699_3,30,0,30,ENSG00000286981.1,ENST00000669365.1,exon2,761,91,121,1,"30,","0,","91,",0.12,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_11725_1,30,0,30,ENSG00000228701.3,ENST00000668345.2,exon2,325,229,259,1,"30,","0,","229,",0.648,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_11725_2,30,0,30,ENSG00000228701.3,ENST00000668345.2,exon2,325,88,118,1,"30,","0,","88,",0.648,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11759_2,30,0,30,ENSG00000279607.1,ENST00000624651.1,exon2,456,50,80,1,"30,","0,","50,",0.16,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11809_2,30,0,30,ENSG00000231829.4,ENST00000655264.1,exon2,1460,239,269,1,"30,","0,","239,",0.24,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11809_3,30,0,30,ENSG00000231829.4,ENST00000655264.1,exon2,1460,1418,1448,1,"30,","0,","1418,",0.24,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11887_1,30,0,30,ENSG00000227356.2,ENST00000427379.2,exon2,127,73,103,1,"30,","0,","73,",0.168,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11918_1,30,0,30,ENSG00000257582.5,ENST00000552096.5,exon2,116,10,40,1,"30,","0,","10,",0.04,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11919_1,30,0,30,ENSG00000228778.2,ENST00000452494.2,exon2,473,223,253,1,"30,","0,","223,",0.048,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_12139_1,30,0,30,ENSG00000231233.3,ENST00000435434.3,exon2,627,392,422,1,"30,","0,","392,",0.184,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_12312_1,30,0,30,ENSG00000232470.1,ENST00000416249.1,exon2,301,173,203,1,"30,","0,","173,",0.168,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_12312_2,30,0,30,ENSG00000232470.1,ENST00000416249.1,exon2,301,83,113,1,"30,","0,","83,",0.168,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_12313_1,30,0,30,ENSG00000203497.3,ENST00000420367.2,exon2,697,242,272,1,"30,","0,","242,",1.0,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_12313_2,30,0,30,ENSG00000203497.3,ENST00000420367.2,exon2,697,148,178,1,"30,","0,","148,",1.0,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_12354_3,30,0,30,ENSG00000288938.1,ENST00000693577.1,exon2,587,99,129,1,"30,","0,","99,",0.712,NOT ESSENTIAL
24,0,0,0,0,0,0,0,+,human_lncrna,fused_12364_1,30,6,30,ENSG00000245571.7,ENST00000501817.6,exon2,210,9,33,1,"24,","6,","9,",0.592,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_12455_4,30,0,30,ENSG00000228484.3,ENST00000436932.1,exon2,219,54,84,1,"30,","0,","54,",0.424,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_12562_3,30,0,30,ENSG00000231104.8,ENST00000451610.6,exon2,534,137,167,1,"30,","0,","137,",0.76,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_12710_4,30,0,30,ENSG00000293468.1,ENST00000690838.1,exon2,801,235,265,1,"30,","0,","235,",0.672,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_12718_1,30,0,30,ENSG00000293468.1,ENST00000690838.1,exon2,801,415,445,1,"30,","0,","415,",0.672,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_12892_1,30,0,30,ENSG00000224023.11,ENST00000715405.1,exon2,358,69,99,1,"30,","0,","69,",0.24,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_13042_1,30,0,30,ENSG00000287997.1,ENST00000653993.1,exon2,176,3,33,1,"30,","0,","3,",0.872,NOT ESSENTIAL
