match,mis-match,rep.match,N_s,Q_gap_count,Q_gap_bases,T_gap_count,T_gap_bases,strand,Q_name_prefix,Q_name_suffix,Q_size,Q_start,Q_end,GeneID,TranscriptID,ExonNum,T_size,T_start,T_end,block_count,blockSizes,qStarts,tStarts,Probability_Functional,Essential_Status
23,0,0,0,0,0,0,0,-,gL_000156,Hum_XLOC_000242,23,0,23,ENSG00000261135.1,ENST00000562878.1,exon1,1109,539,562,1,"23,","0,","539,",0.256,Partially shared
23,0,0,0,0,0,0,0,-,gL_000157,Hum_XLOC_000242,23,0,23,ENSG00000261135.1,ENST00000562878.1,exon1,1109,571,594,1,"23,","0,","571,",0.256,Partially shared
23,0,0,0,0,0,0,0,-,gL_000279,Hum_XLOC_000394,23,0,23,ENSG00000284657.1,ENST00000641059.1,exon1,759,473,496,1,"23,","0,","473,",0.52,Non-essential
23,0,0,0,0,0,0,0,-,gL_000317,Hum_XLOC_000456,23,0,23,ENSG00000229388.1,ENST00000420776.1,exon1,289,88,111,1,"23,","0,","88,",0.392,Partially shared
23,0,0,0,0,0,0,0,+,gL_000502,Hum_XLOC_000726,23,0,23,ENSG00000290081.1,ENST00000702865.1,exon1,903,868,891,1,"23,","0,","868,",0.056,Non-essential
23,0,0,0,0,0,0,0,-,gL_000516,Hum_XLOC_000773,23,0,23,ENSG00000266993.3,ENST00000629102.1,exon1,140,77,100,1,"23,","0,","77,",0.816,Non-essential
23,0,0,0,0,0,0,0,-,gL_000548,Hum_XLOC_000818,23,0,23,ENSG00000237453.1,ENST00000450503.1,exon1,174,54,77,1,"23,","0,","54,",0.464,Non-essential
23,0,0,0,0,0,0,0,+,gL_000806,Hum_XLOC_001309,23,0,23,ENSG00000287807.1,ENST00000655233.1,exon1,1069,747,770,1,"23,","0,","747,",0.352,Non-essential
22,0,0,0,0,0,0,0,-,gL_000812,Hum_XLOC_001329,23,0,22,ENSG00000233730.2,ENST00000448680.2,exon1,171,0,22,1,"22,","1,","0,",0.568,Non-essential
23,0,0,0,0,0,0,0,-,gL_000972,Hum_XLOC_001542,23,0,23,ENSG00000234614.1,ENST00000434182.1,exon1,154,10,33,1,"23,","0,","10,",0.768,Non-essential
23,0,0,0,0,0,0,0,-,gL_001033,Hum_XLOC_001661,23,0,23,ENSG00000271736.2,ENST00000662441.1,exon1,1388,318,341,1,"23,","0,","318,",0.104,Non-essential
23,0,0,0,0,0,0,0,-,gL_001097,Hum_XLOC_001773,23,0,23,ENSG00000224358.1,ENST00000423121.1,exon1,446,76,99,1,"23,","0,","76,",0.6,Non-essential
23,0,0,0,0,0,0,0,-,gL_001118,Hum_XLOC_001783,23,0,23,ENSG00000227907.1,ENST00000417644.1,exon1,215,87,110,1,"23,","0,","87,",0.224,Non-essential
23,0,0,0,0,0,0,0,-,gL_001137,Hum_XLOC_001805,23,0,23,ENSG00000237707.1,ENST00000415637.1,exon1,369,44,67,1,"23,","0,","44,",0.144,Non-essential
23,0,0,0,0,0,0,0,-,gL_001193,Hum_XLOC_001953,23,0,23,ENSG00000273198.1,ENST00000609032.1,exon1,531,66,89,1,"23,","0,","66,",0.0,Non-essential
23,0,0,0,0,0,0,0,-,gL_001329,Hum_XLOC_002176,23,0,23,ENSG00000288007.1,ENST00000669720.1,exon1,1460,54,77,1,"23,","0,","54,",0.264,Non-essential
